date,pub_count,close_mean,ret_1d,ret_fwd_5d,volume_sum,vol_4w,vol_growth,vol_z,pub_4w,pub_growth,pub_z,y_up_5d,top1,top2,top3,top4,top5,top1_count,top2_count,top3_count,top4_count,top5_count,total_publications,top1_share,top2_share,top3_share,top4_share,top5_share,top_list
2024-09-03,21,122.16,,-0.0053208906352325,10294095,,,,,,,0,Bacterial Genetics and Biotechnology,RNA and protein synthesis mechanisms,Bacterial biofilms and quorum sensing,Bacteriophages and microbial interactions,Enzyme Structure and Function,21.0,6.0,3.0,3.0,3.0,54.0,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,Bacterial Genetics and Biotechnology|RNA and protein synthesis mechanisms|Bacterial biofilms and quorum sensing|Bacteriophages and microbial interactions|Enzyme Structure and Function
2024-09-04,3,122.01,-0.0012278978388998,0.0020490123760348,8139602,,-0.2092940661612312,,,-0.8571428571428572,,1,Bacterial Genetics and Biotechnology,Bacteriophages and microbial interactions,Amino Acid Enzymes and Metabolism,Escherichia coli research studies,Microbial Metabolic Engineering and Bioproduction,3.0,2.0,1.0,1.0,1.0,9.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,Bacterial Genetics and Biotechnology|Bacteriophages and microbial interactions|Amino Acid Enzymes and Metabolism|Escherichia coli research studies|Microbial Metabolic Engineering and Bioproduction
2024-09-05,3,121.435,-0.0047127284648798,0.0072055008852471,6814842,,-0.1627548865411355,,,0.0,,1,Bacterial Genetics and Biotechnology,Amino Acid Enzymes and Metabolism,Escherichia coli research studies,Microbial Metabolic Engineering and Bioproduction,RNA and protein synthesis mechanisms,3.0,1.0,1.0,1.0,1.0,8.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,Bacterial Genetics and Biotechnology|Amino Acid Enzymes and Metabolism|Escherichia coli research studies|Microbial Metabolic Engineering and Bioproduction|RNA and protein synthesis mechanisms
2024-09-06,1,119.635,-0.0148227446782229,0.0407489447068165,9329606,,0.3690128105684622,,,-0.6666666666666667,,1,Bacterial Genetics and Biotechnology,,,,,1.0,,,,,1.0,1.0,,,,,Bacterial Genetics and Biotechnology
2024-09-09,6,121.21,0.0131650436745101,0.0286692517119049,6798702,41376847.0,-0.2712766219709599,,34.0,5.0,,1,Bacterial Genetics and Biotechnology,RNA and protein synthesis mechanisms,Enzyme Structure and Function,Antibiotic Resistance in Bacteria,Bacterial biofilms and quorum sensing,6.0,3.0,2.0,1.0,1.0,18.0,1.0,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,Bacterial Genetics and Biotechnology|RNA and protein synthesis mechanisms|Enzyme Structure and Function|Antibiotic Resistance in Bacteria|Bacterial biofilms and quorum sensing
2024-09-10,0,121.51,0.0024750433132578,0.0237017529421448,5496701,46873548.0,-0.1915072906563635,,34.0,-1.0,,1,,,,,,,,,,,,,,,,,
2024-09-11,13,122.26,0.0061723314953503,0.0155815475216751,6175228,53048776.0,0.1234425885635766,,47.0,,,1,Bacterial Genetics and Biotechnology,Bacteriophages and microbial interactions,Probiotics and Fermented Foods,Protein Structure and Dynamics,RNA and protein synthesis mechanisms,13.0,12.0,3.0,3.0,2.0,36.0,1.0,0.9230769230769231,0.23076923076923078,0.23076923076923078,0.15384615384615385,Bacterial Genetics and Biotechnology|Bacteriophages and microbial interactions|Probiotics and Fermented Foods|Protein Structure and Dynamics|RNA and protein synthesis mechanisms
2024-09-12,7,122.31,0.0004089645018812,0.0297604447714823,7005493,60054269.0,0.1344509061041956,,54.0,-0.46153846153846156,,1,Bacterial Genetics and Biotechnology,Enzyme Structure and Function,Protein Structure and Dynamics,Bacteriophages and microbial interactions,DNA Repair Mechanisms,7.0,3.0,3.0,1.0,1.0,21.0,1.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285,Bacterial Genetics and Biotechnology|Enzyme Structure and Function|Protein Structure and Dynamics|Bacteriophages and microbial interactions|DNA Repair Mechanisms
2024-09-13,5,124.51,0.0179870820047418,0.0022889727732711,7754956,67809225.0,0.1069821924024476,,59.0,-0.2857142857142857,,1,Bacterial Genetics and Biotechnology,Bacterial biofilms and quorum sensing,Vibrio bacteria research studies,Bacteriophages and microbial interactions,CRISPR and Genetic Engineering,5.0,2.0,2.0,1.0,1.0,15.0,1.0,0.4,0.4,0.2,0.2,Bacterial Genetics and Biotechnology|Bacterial biofilms and quorum sensing|Vibrio bacteria research studies|Bacteriophages and microbial interactions|CRISPR and Genetic Engineering
2024-09-16,5,124.685,0.0014055095976228,-0.0184464851425592,8165230,75974455.0,0.0529047489115348,,64.0,0.0,,0,Bacterial Genetics and Biotechnology,RNA and protein synthesis mechanisms,Bacteriophages and microbial interactions,CRISPR and Genetic Engineering,Escherichia coli research studies,5.0,4.0,2.0,1.0,1.0,15.0,1.0,0.8,0.4,0.2,0.2,Bacterial Genetics and Biotechnology|RNA and protein synthesis mechanisms|Bacteriophages and microbial interactions|CRISPR and Genetic Engineering|Escherichia coli research studies
