date,pub_count,close_mean,ret_1d,ret_fwd_5d,volume_sum,vol_4w,vol_growth,vol_z,pub_4w,pub_growth,pub_z,y_up_5d,top1,top2,top3,top4,top5,top1_count,top2_count,top3_count,top4_count,top5_count,total_publications,top1_share,top2_share,top3_share,top4_share,top5_share,top_list
2024-09-03,43,169.99666666666667,,-0.0079609404105962,9435472,,,,,,,0,Global Health Care Issues,Health disparities and outcomes,"Insurance, Mortality, Demography, Risk Management",Employment and Welfare Studies,Global Maternal and Child Health,43.0,9.0,8.0,5.0,4.0,106,1.0,0.20930232558139536,0.18604651162790697,0.11627906976744186,0.09302325581395349,"Global Health Care Issues|Health disparities and outcomes|Insurance, Mortality, Demography, Risk Management|Employment and Welfare Studies|Global Maternal and Child Health"
2024-09-04,7,169.71333333333334,-0.0016666993470459,-0.0088187924735829,8487683,,-0.1004495588561971,,,-0.8372093023255813,,0,Global Health Care Issues,Global Public Health Policies and Epidemiology,Healthcare Systems and Reforms,Employment and Welfare Studies,Global Maternal and Child Health,7.0,2.0,2.0,1.0,1.0,16,1.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,Global Health Care Issues|Global Public Health Policies and Epidemiology|Healthcare Systems and Reforms|Employment and Welfare Studies|Global Maternal and Child Health
2024-09-05,7,167.50666666666663,-0.013002317633657,0.0087359707076337,8218868,,-0.031671187531391,,,0.0,,1,Global Health Care Issues,Asthma and respiratory diseases,Employment and Welfare Studies,Family and Patient Care in Intensive Care Units,Healthcare Systems and Public Health,7.0,1.0,1.0,1.0,1.0,14,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,Global Health Care Issues|Asthma and respiratory diseases|Employment and Welfare Studies|Family and Patient Care in Intensive Care Units|Healthcare Systems and Public Health
2024-09-06,13,166.76,-0.0044575340284962,0.0159710562085231,8420448,,0.0245264919694536,,,0.8571428571428572,,1,Global Health Care Issues,"Health Systems, Economic Evaluations, Quality of Life",Economic Growth and Development,Economic Theory and Policy,Health disparities and outcomes,13.0,3.0,1.0,1.0,1.0,26,1.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,"Global Health Care Issues|Health Systems, Economic Evaluations, Quality of Life|Economic Growth and Development|Economic Theory and Policy|Health disparities and outcomes"
2024-09-09,7,167.93666666666667,0.0070560486127768,0.0151644469145115,6855354,41417825.0,-0.185868257840913,,77.0,-0.46153846153846156,,1,Global Health Care Issues,Healthcare Policy and Management,Employment and Welfare Studies,"Health Systems, Economic Evaluations, Quality of Life","Insurance, Mortality, Demography, Risk Management",7.0,2.0,1.0,1.0,1.0,15,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,"Global Health Care Issues|Healthcare Policy and Management|Employment and Welfare Studies|Health Systems, Economic Evaluations, Quality of Life|Insurance, Mortality, Demography, Risk Management"
2024-09-10,12,168.64333333333337,0.0042079355312518,0.0015614808372699,7595191,49013016.0,0.1079210497371834,,89.0,0.7142857142857142,,1,Global Health Care Issues,Health disparities and outcomes,Blood Pressure and Hypertension Studies,Child Nutrition and Water Access,Efficiency Analysis Using DEA,12.0,4.0,1.0,1.0,1.0,28,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,Global Health Care Issues|Health disparities and outcomes|Blood Pressure and Hypertension Studies|Child Nutrition and Water Access|Efficiency Analysis Using DEA
2024-09-11,13,168.21666666666667,-0.0025299942679818,0.0022193599524422,6964281,55977297.0,-0.0830670354438749,,102.0,0.08333333333333326,,1,Global Health Care Issues,"Insurance, Mortality, Demography, Risk Management",Employment and Welfare Studies,"Health Systems, Economic Evaluations, Quality of Life",Healthcare Policy and Management,13.0,3.0,2.0,2.0,2.0,28,1.0,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.15384615384615385,"Global Health Care Issues|Insurance, Mortality, Demography, Risk Management|Employment and Welfare Studies|Health Systems, Economic Evaluations, Quality of Life|Healthcare Policy and Management"
2024-09-12,6,168.97,0.0044783513326067,0.0027026493854924,5239255,61216552.0,-0.2476962086969207,,108.0,-0.5384615384615384,,1,Global Health Care Issues,Healthcare Policy and Management,"Birth, Development, and Health",Economic Growth and Development,Economic Growth and Productivity,6.0,2.0,1.0,1.0,1.0,15,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,"Global Health Care Issues|Healthcare Policy and Management|Birth, Development, and Health|Economic Growth and Development|Economic Growth and Productivity"
2024-09-13,7,169.42333333333332,0.0026829220177151,-0.0045054793712002,4579352,65795904.0,-0.1259535945473163,,115.0,0.16666666666666674,,0,Global Health Care Issues,Employment and Welfare Studies,COVID-19 epidemiological studies,Economic Theory and Policy,"Health Systems, Economic Evaluations, Quality of Life",7.0,2.0,1.0,1.0,1.0,16,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,"Global Health Care Issues|Employment and Welfare Studies|COVID-19 epidemiological studies|Economic Theory and Policy|Health Systems, Economic Evaluations, Quality of Life"
2024-09-16,23,170.48333333333335,0.0062565172054225,-0.014566428780917,4972019,70767923.0,0.0857472847686746,,138.0,2.2857142857142856,,0,Global Health Care Issues,"Health Systems, Economic Evaluations, Quality of Life",Healthcare Systems and Reforms,"Gender, Labor, and Family Dynamics",Global Maternal and Child Health,23.0,3.0,3.0,2.0,2.0,51,1.0,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.08695652173913043,"Global Health Care Issues|Health Systems, Economic Evaluations, Quality of Life|Healthcare Systems and Reforms|Gender, Labor, and Family Dynamics|Global Maternal and Child Health"
