date,pub_count,close_mean,ret_1d,ret_fwd_5d,volume_sum,vol_4w,vol_growth,vol_z,pub_4w,pub_growth,pub_z,y_up_5d,top1,top2,top3,top4,top5,top1_count,top2_count,top3_count,top4_count,top5_count,total_publications,top1_share,top2_share,top3_share,top4_share,top5_share,top_list
2024-09-03,72,219.345,,-0.0150447924502494,21680526,,,,,,,0,GaN-based semiconductor devices and materials,Semiconductor materials and devices,Ga2O3 and related materials,Semiconductor Quantum Structures and Devices,Silicon Carbide Semiconductor Technologies,72.0,19.0,16.0,14.0,14.0,208.0,1.0,0.2638888888888889,0.2222222222222222,0.19444444444444445,0.19444444444444445,GaN-based semiconductor devices and materials|Semiconductor materials and devices|Ga2O3 and related materials|Semiconductor Quantum Structures and Devices|Silicon Carbide Semiconductor Technologies
2024-09-04,11,219.425,0.0003647222412181,0.0329497550415858,13082063,,-0.3965984496870601,,,-0.8472222222222222,,1,GaN-based semiconductor devices and materials,Semiconductor Quantum Structures and Devices,Ga2O3 and related materials,Semiconductor materials and devices,Carbon Nanotubes in Composites,11.0,5.0,4.0,3.0,1.0,33.0,1.0,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.09090909090909091,GaN-based semiconductor devices and materials|Semiconductor Quantum Structures and Devices|Ga2O3 and related materials|Semiconductor materials and devices|Carbon Nanotubes in Composites
2024-09-05,6,218.655,-0.0035091716987581,0.0355125654569985,10523775,,-0.1955569240111441,,,-0.4545454545454546,,1,GaN-based semiconductor devices and materials,Ga2O3 and related materials,Semiconductor materials and devices,Semiconductor materials and interfaces,Acoustic Wave Resonator Technologies,6.0,2.0,2.0,2.0,1.0,17.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,GaN-based semiconductor devices and materials|Ga2O3 and related materials|Semiconductor materials and devices|Semiconductor materials and interfaces|Acoustic Wave Resonator Technologies
2024-09-06,4,209.465,-0.0420296814616633,0.097462583247798,17615594,,0.673885464103898,,,-0.33333333333333337,,1,GaN-based semiconductor devices and materials,Advanced Chemical Sensor Technologies,Embedded Systems and FPGA Design,Engineering Applied Research,Ga2O3 and related materials,4.0,1.0,1.0,1.0,1.0,10.0,1.0,0.25,0.25,0.25,0.25,GaN-based semiconductor devices and materials|Advanced Chemical Sensor Technologies|Embedded Systems and FPGA Design|Engineering Applied Research|Ga2O3 and related materials
2024-09-09,13,213.91000000000005,0.0212207290000716,0.0604459819550278,12011998,74913956.0,-0.3181042887341749,,106.0,2.25,,1,GaN-based semiconductor devices and materials,Gas Sensing Nanomaterials and Sensors,Semiconductor Quantum Structures and Devices,Acoustic Wave Resonator Technologies,Ga2O3 and related materials,13.0,3.0,3.0,2.0,2.0,38.0,1.0,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,GaN-based semiconductor devices and materials|Gas Sensing Nanomaterials and Sensors|Semiconductor Quantum Structures and Devices|Acoustic Wave Resonator Technologies|Ga2O3 and related materials
2024-09-10,9,216.045,0.009980833060633,0.0504061653822118,10042192,84956148.0,-0.1639865407902998,,115.0,-0.3076923076923077,,1,GaN-based semiconductor devices and materials,Acoustic Wave Resonator Technologies,Semiconductor Quantum Structures and Devices,ZnO doping and properties,Advancements in Semiconductor Devices and Circuit Design,9.0,2.0,2.0,2.0,1.0,23.0,1.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,GaN-based semiconductor devices and materials|Acoustic Wave Resonator Technologies|Semiconductor Quantum Structures and Devices|ZnO doping and properties|Advancements in Semiconductor Devices and Circuit Design
2024-09-11,4,226.655,0.0491101390913928,-0.0099931614127198,17669655,102625803.0,0.7595416419044767,,119.0,-0.5555555555555556,,0,GaN-based semiconductor devices and materials,Ga2O3 and related materials,ZnO doping and properties,,,4.0,3.0,3.0,,,10.0,1.0,0.75,0.75,,,GaN-based semiconductor devices and materials|Ga2O3 and related materials|ZnO doping and properties
2024-09-12,8,226.42,-0.0010368180715183,0.033654270824132,12952057,115577860.0,-0.2669886876682086,,127.0,1.0,,1,GaN-based semiconductor devices and materials,Semiconductor materials and devices,Ga2O3 and related materials,Metal and Thin Film Mechanics,ZnO doping and properties,8.0,4.0,2.0,2.0,2.0,23.0,1.0,0.5,0.25,0.25,0.25,GaN-based semiconductor devices and materials|Semiconductor materials and devices|Ga2O3 and related materials|Metal and Thin Film Mechanics|ZnO doping and properties
2024-09-13,4,229.88,0.0152813355710625,0.0039368366104053,11673765,127251625.0,-0.0986941302064992,,131.0,-0.5,,1,GaN-based semiconductor devices and materials,Semiconductor materials and devices,Acoustic Wave Resonator Technologies,Ga2O3 and related materials,Metal and Thin Film Mechanics,4.0,3.0,1.0,1.0,1.0,12.0,1.0,0.75,0.25,0.25,0.25,GaN-based semiconductor devices and materials|Semiconductor materials and devices|Acoustic Wave Resonator Technologies|Ga2O3 and related materials|Metal and Thin Film Mechanics
2024-09-16,31,226.84,-0.0132242909344004,0.0216231705166636,7975053,135226678.0,-0.3168396828272627,,162.0,6.75,,1,GaN-based semiconductor devices and materials,Semiconductor materials and devices,Ga2O3 and related materials,Silicon Carbide Semiconductor Technologies,Metal and Thin Film Mechanics,31.0,13.0,10.0,8.0,3.0,88.0,1.0,0.41935483870967744,0.3225806451612903,0.25806451612903225,0.0967741935483871,GaN-based semiconductor devices and materials|Semiconductor materials and devices|Ga2O3 and related materials|Silicon Carbide Semiconductor Technologies|Metal and Thin Film Mechanics
