"date","top1","top2","top3","top4","top5","top1_count","top2_count","top3_count","top4_count","top5_count","total_publications","top_list"
"2024-09-01","Bacterial Genetics and Biotechnology","RNA and protein synthesis mechanisms","CRISPR and Genetic Engineering","Enzyme Structure and Function","Genomics and Chromatin Dynamics","4.0","3.0","1.0","1.0","1.0","4","Bacterial Genetics and Biotechnology|RNA and protein synthesis mechanisms|CRISPR and Genetic Engineering|Enzyme Structure and Function|Genomics and Chromatin Dynamics"
"2024-09-02","Bacterial Genetics and Biotechnology","RNA and protein synthesis mechanisms","Advanced biosensing and bioanalysis techniques","Bacteriophages and microbial interactions","Biochemical and Molecular Research","4.0","2.0","1.0","1.0","1.0","4","Bacterial Genetics and Biotechnology|RNA and protein synthesis mechanisms|Advanced biosensing and bioanalysis techniques|Bacteriophages and microbial interactions|Biochemical and Molecular Research"
"2024-09-03","Bacterial Genetics and Biotechnology","Bacterial biofilms and quorum sensing","Bacteriophages and microbial interactions","Enzyme Structure and Function","Protein Structure and Dynamics","13.0","3.0","2.0","2.0","2.0","13","Bacterial Genetics and Biotechnology|Bacterial biofilms and quorum sensing|Bacteriophages and microbial interactions|Enzyme Structure and Function|Protein Structure and Dynamics"
"2024-09-04","Bacterial Genetics and Biotechnology","Bacteriophages and microbial interactions","Amino Acid Enzymes and Metabolism","Escherichia coli research studies","Microbial Metabolic Engineering and Bioproduction","3.0","2.0","1.0","1.0","1.0","3","Bacterial Genetics and Biotechnology|Bacteriophages and microbial interactions|Amino Acid Enzymes and Metabolism|Escherichia coli research studies|Microbial Metabolic Engineering and Bioproduction"
"2024-09-05","Bacterial Genetics and Biotechnology","Amino Acid Enzymes and Metabolism","Escherichia coli research studies","Microbial Metabolic Engineering and Bioproduction","RNA and protein synthesis mechanisms","3.0","1.0","1.0","1.0","1.0","3","Bacterial Genetics and Biotechnology|Amino Acid Enzymes and Metabolism|Escherichia coli research studies|Microbial Metabolic Engineering and Bioproduction|RNA and protein synthesis mechanisms"
"2024-09-06","Bacterial Genetics and Biotechnology","","","","","1.0","","","","","1","Bacterial Genetics and Biotechnology"
"2024-09-07","Bacterial Genetics and Biotechnology","Enzyme Structure and Function","RNA and protein synthesis mechanisms","","","1.0","1.0","1.0","","","1","Bacterial Genetics and Biotechnology|Enzyme Structure and Function|RNA and protein synthesis mechanisms"
"2024-09-08","Bacterial Genetics and Biotechnology","Antibiotic Resistance in Bacteria","Bacterial biofilms and quorum sensing","Bacteriophages and microbial interactions","DNA Repair Mechanisms","3.0","1.0","1.0","1.0","1.0","3","Bacterial Genetics and Biotechnology|Antibiotic Resistance in Bacteria|Bacterial biofilms and quorum sensing|Bacteriophages and microbial interactions|DNA Repair Mechanisms"
"2024-09-09","Bacterial Genetics and Biotechnology","Enzyme Structure and Function","Escherichia coli research studies","Evolution and Genetic Dynamics","RNA and protein synthesis mechanisms","2.0","1.0","1.0","1.0","1.0","2","Bacterial Genetics and Biotechnology|Enzyme Structure and Function|Escherichia coli research studies|Evolution and Genetic Dynamics|RNA and protein synthesis mechanisms"
"2024-09-11","Bacterial Genetics and Biotechnology","Bacteriophages and microbial interactions","Probiotics and Fermented Foods","Protein Structure and Dynamics","RNA and protein synthesis mechanisms","13.0","12.0","3.0","3.0","2.0","13","Bacterial Genetics and Biotechnology|Bacteriophages and microbial interactions|Probiotics and Fermented Foods|Protein Structure and Dynamics|RNA and protein synthesis mechanisms"
"2024-09-12","Bacterial Genetics and Biotechnology","Enzyme Structure and Function","Protein Structure and Dynamics","Bacteriophages and microbial interactions","DNA Repair Mechanisms","7.0","3.0","3.0","1.0","1.0","7","Bacterial Genetics and Biotechnology|Enzyme Structure and Function|Protein Structure and Dynamics|Bacteriophages and microbial interactions|DNA Repair Mechanisms"
"2024-09-13","Bacterial Genetics and Biotechnology","Bacterial biofilms and quorum sensing","Vibrio bacteria research studies","Bacteriophages and microbial interactions","CRISPR and Genetic Engineering","5.0","2.0","2.0","1.0","1.0","5","Bacterial Genetics and Biotechnology|Bacterial biofilms and quorum sensing|Vibrio bacteria research studies|Bacteriophages and microbial interactions|CRISPR and Genetic Engineering"
"2024-09-14","Bacterial Genetics and Biotechnology","RNA and protein synthesis mechanisms","Escherichia coli research studies","Protein Structure and Dynamics","","2.0","2.0","1.0","1.0","","2","Bacterial Genetics and Biotechnology|RNA and protein synthesis mechanisms|Escherichia coli research studies|Protein Structure and Dynamics"
"2024-09-16","Bacterial Genetics and Biotechnology","Bacteriophages and microbial interactions","RNA and protein synthesis mechanisms","CRISPR and Genetic Engineering","Plant Pathogenic Bacteria Studies","3.0","2.0","2.0","1.0","1.0","3","Bacterial Genetics and Biotechnology|Bacteriophages and microbial interactions|RNA and protein synthesis mechanisms|CRISPR and Genetic Engineering|Plant Pathogenic Bacteria Studies"
"2024-09-17","Bacterial Genetics and Biotechnology","Bacteriophages and microbial interactions","Protein Structure and Dynamics","RNA and protein synthesis mechanisms","CRISPR and Genetic Engineering","6.0","3.0","2.0","2.0","1.0","6","Bacterial Genetics and Biotechnology|Bacteriophages and microbial interactions|Protein Structure and Dynamics|RNA and protein synthesis mechanisms|CRISPR and Genetic Engineering"
"2024-09-18","Bacterial Genetics and Biotechnology","RNA and protein synthesis mechanisms","Bacterial biofilms and quorum sensing","Bacteriophages and microbial interactions","Cancer therapeutics and mechanisms","5.0","3.0","2.0","1.0","1.0","5","Bacterial Genetics and Biotechnology|RNA and protein synthesis mechanisms|Bacterial biofilms and quorum sensing|Bacteriophages and microbial interactions|Cancer therapeutics and mechanisms"
"2024-09-19","Bacterial Genetics and Biotechnology","Microbial Community Ecology and Physiology","Bacterial biofilms and quorum sensing","Bacteriophages and microbial interactions","Biochemical and Structural Characterization","5.0","2.0","1.0","1.0","1.0","5","Bacterial Genetics and Biotechnology|Microbial Community Ecology and Physiology|Bacterial biofilms and quorum sensing|Bacteriophages and microbial interactions|Biochemical and Structural Characterization"
"2024-09-20","Bacterial Genetics and Biotechnology","Protein Structure and Dynamics","RNA and protein synthesis mechanisms","","","1.0","1.0","1.0","","","1","Bacterial Genetics and Biotechnology|Protein Structure and Dynamics|RNA and protein synthesis mechanisms"
"2024-09-22","Antibiotic Resistance in Bacteria","Bacterial Genetics and Biotechnology","Bacterial biofilms and quorum sensing","","","1.0","1.0","1.0","","","1","Antibiotic Resistance in Bacteria|Bacterial Genetics and Biotechnology|Bacterial biofilms and quorum sensing"
"2024-09-23","Bacterial Genetics and Biotechnology","Bacterial biofilms and quorum sensing","Bacteriophages and microbial interactions","Biochemical and Structural Characterization","Enzyme Structure and Function","3.0","1.0","1.0","1.0","1.0","3","Bacterial Genetics and Biotechnology|Bacterial biofilms and quorum sensing|Bacteriophages and microbial interactions|Biochemical and Structural Characterization|Enzyme Structure and Function"
"2024-09-24","Bacterial Genetics and Biotechnology","Advanced Proteomics Techniques and Applications","Bacterial Infections and Vaccines","Enzyme Structure and Function","Microbial Fuel Cells and Bioremediation","4.0","1.0","1.0","1.0","1.0","4","Bacterial Genetics and Biotechnology|Advanced Proteomics Techniques and Applications|Bacterial Infections and Vaccines|Enzyme Structure and Function|Microbial Fuel Cells and Bioremediation"
"2024-09-25","Bacterial Genetics and Biotechnology","Antibiotic Resistance in Bacteria","Bacterial biofilms and quorum sensing","Bacteriophages and microbial interactions","Mycobacterium research and diagnosis","3.0","1.0","1.0","1.0","1.0","3","Bacterial Genetics and Biotechnology|Antibiotic Resistance in Bacteria|Bacterial biofilms and quorum sensing|Bacteriophages and microbial interactions|Mycobacterium research and diagnosis"
