"date","top1","top2","top3","top4","top5","top1_count","top2_count","top3_count","top4_count","top5_count","total_publications","top_list"
"2024-09-01","Global Health Care Issues","Health disparities and outcomes","Insurance, Mortality, Demography, Risk Management","Economic Growth and Productivity","Employment and Welfare Studies","24.0","5.0","4.0","2.0","2.0","24","Global Health Care Issues|Health disparities and outcomes|Insurance, Mortality, Demography, Risk Management|Economic Growth and Productivity|Employment and Welfare Studies"
"2024-09-02","Global Health Care Issues","Fiscal Policy and Economic Growth","Global Maternal and Child Health","Child Nutrition and Water Access","Economic Growth and Productivity","9.0","2.0","2.0","1.0","1.0","9","Global Health Care Issues|Fiscal Policy and Economic Growth|Global Maternal and Child Health|Child Nutrition and Water Access|Economic Growth and Productivity"
"2024-09-03","Global Health Care Issues","Health disparities and outcomes","Insurance, Mortality, Demography, Risk Management","Employment and Welfare Studies","COVID-19 Pandemic Impacts","10.0","3.0","3.0","2.0","1.0","10","Global Health Care Issues|Health disparities and outcomes|Insurance, Mortality, Demography, Risk Management|Employment and Welfare Studies|COVID-19 Pandemic Impacts"
"2024-09-04","Global Health Care Issues","Global Public Health Policies and Epidemiology","Healthcare Systems and Reforms","Employment and Welfare Studies","Global Maternal and Child Health","7.0","2.0","2.0","1.0","1.0","7","Global Health Care Issues|Global Public Health Policies and Epidemiology|Healthcare Systems and Reforms|Employment and Welfare Studies|Global Maternal and Child Health"
"2024-09-05","Global Health Care Issues","Asthma and respiratory diseases","Employment and Welfare Studies","Family and Patient Care in Intensive Care Units","Healthcare Systems and Public Health","7.0","1.0","1.0","1.0","1.0","7","Global Health Care Issues|Asthma and respiratory diseases|Employment and Welfare Studies|Family and Patient Care in Intensive Care Units|Healthcare Systems and Public Health"
"2024-09-06","Global Health Care Issues","Health Systems, Economic Evaluations, Quality of Life","Economic Growth and Development","Economic Theory and Policy","Health disparities and outcomes","13.0","3.0","1.0","1.0","1.0","13","Global Health Care Issues|Health Systems, Economic Evaluations, Quality of Life|Economic Growth and Development|Economic Theory and Policy|Health disparities and outcomes"
"2024-09-07","Global Health Care Issues","Insurance, Mortality, Demography, Risk Management","demographic modeling and climate adaptation","","","3.0","1.0","1.0","","","3","Global Health Care Issues|Insurance, Mortality, Demography, Risk Management|demographic modeling and climate adaptation"
"2024-09-09","Global Health Care Issues","Healthcare Policy and Management","Employment and Welfare Studies","Health Systems, Economic Evaluations, Quality of Life","Migration and Labor Dynamics","4.0","2.0","1.0","1.0","1.0","4","Global Health Care Issues|Healthcare Policy and Management|Employment and Welfare Studies|Health Systems, Economic Evaluations, Quality of Life|Migration and Labor Dynamics"
"2024-09-10","Global Health Care Issues","Health disparities and outcomes","Blood Pressure and Hypertension Studies","Child Nutrition and Water Access","Efficiency Analysis Using DEA","12.0","4.0","1.0","1.0","1.0","12","Global Health Care Issues|Health disparities and outcomes|Blood Pressure and Hypertension Studies|Child Nutrition and Water Access|Efficiency Analysis Using DEA"
"2024-09-11","Global Health Care Issues","Insurance, Mortality, Demography, Risk Management","Employment and Welfare Studies","Health Systems, Economic Evaluations, Quality of Life","Healthcare Policy and Management","13.0","3.0","2.0","2.0","2.0","13","Global Health Care Issues|Insurance, Mortality, Demography, Risk Management|Employment and Welfare Studies|Health Systems, Economic Evaluations, Quality of Life|Healthcare Policy and Management"
