"date","top1","top2","top3","top4","top5","top1_count","top2_count","top3_count","top4_count","top5_count","total_publications","top_list"
"2024-09-01","Semiconductor materials and devices","Advancements in Semiconductor Devices and Circuit Design","Semiconductor materials and interfaces","Catalytic Processes in Materials Science","Copper Interconnects and Reliability","34.0","7.0","7.0","3.0","3.0","34","Semiconductor materials and devices|Advancements in Semiconductor Devices and Circuit Design|Semiconductor materials and interfaces|Catalytic Processes in Materials Science|Copper Interconnects and Reliability"
"2024-09-02","Semiconductor materials and devices","Advancements in Semiconductor Devices and Circuit Design","Electronic and Structural Properties of Oxides","Advanced Memory and Neural Computing","Advancements in Photolithography Techniques","17.0","9.0","4.0","3.0","2.0","17","Semiconductor materials and devices|Advancements in Semiconductor Devices and Circuit Design|Electronic and Structural Properties of Oxides|Advanced Memory and Neural Computing|Advancements in Photolithography Techniques"
"2024-09-03","Semiconductor materials and devices","Advancements in Semiconductor Devices and Circuit Design","Ferroelectric and Negative Capacitance Devices","Integrated Circuits and Semiconductor Failure Analysis","Semiconductor materials and interfaces","31.0","19.0","6.0","6.0","3.0","31","Semiconductor materials and devices|Advancements in Semiconductor Devices and Circuit Design|Ferroelectric and Negative Capacitance Devices|Integrated Circuits and Semiconductor Failure Analysis|Semiconductor materials and interfaces"
"2024-09-04","Semiconductor materials and devices","Advancements in Semiconductor Devices and Circuit Design","Ferroelectric and Negative Capacitance Devices","Advanced ceramic materials synthesis","Anodic Oxide Films and Nanostructures","9.0","3.0","3.0","1.0","1.0","9","Semiconductor materials and devices|Advancements in Semiconductor Devices and Circuit Design|Ferroelectric and Negative Capacitance Devices|Advanced ceramic materials synthesis|Anodic Oxide Films and Nanostructures"
"2024-09-05","Semiconductor materials and devices","Advancements in Battery Materials","Advancements in Semiconductor Devices and Circuit Design","Integrated Circuits and Semiconductor Failure Analysis","Silicon and Solar Cell Technologies","4.0","1.0","1.0","1.0","1.0","4","Semiconductor materials and devices|Advancements in Battery Materials|Advancements in Semiconductor Devices and Circuit Design|Integrated Circuits and Semiconductor Failure Analysis|Silicon and Solar Cell Technologies"
"2024-09-06","Semiconductor materials and devices","ZnO doping and properties","Advanced Data Storage Technologies","Advanced Memory and Neural Computing","Advancements in Photolithography Techniques","6.0","2.0","1.0","1.0","1.0","6","Semiconductor materials and devices|ZnO doping and properties|Advanced Data Storage Technologies|Advanced Memory and Neural Computing|Advancements in Photolithography Techniques"
"2024-09-07","Anodic Oxide Films and Nanostructures","Quantum-Dot Cellular Automata","Semiconductor materials and devices","","","1.0","1.0","1.0","","","1","Anodic Oxide Films and Nanostructures|Quantum-Dot Cellular Automata|Semiconductor materials and devices"
"2024-09-08","Semiconductor materials and devices","Semiconductor materials and interfaces","Advancements in Battery Materials","Integrated Circuits and Semiconductor Failure Analysis","Low-power high-performance VLSI design","3.0","2.0","1.0","1.0","1.0","3","Semiconductor materials and devices|Semiconductor materials and interfaces|Advancements in Battery Materials|Integrated Circuits and Semiconductor Failure Analysis|Low-power high-performance VLSI design"
"2024-09-09","Semiconductor materials and devices","Advancements in Semiconductor Devices and Circuit Design","Integrated Circuits and Semiconductor Failure Analysis","Electronic and Structural Properties of Oxides","Photonic and Optical Devices","18.0","7.0","4.0","3.0","3.0","18","Semiconductor materials and devices|Advancements in Semiconductor Devices and Circuit Design|Integrated Circuits and Semiconductor Failure Analysis|Electronic and Structural Properties of Oxides|Photonic and Optical Devices"
"2024-09-10","Semiconductor materials and devices","Electronic and Structural Properties of Oxides","Ferroelectric and Negative Capacitance Devices","Advanced Materials Characterization Techniques","Ferroelectric and Piezoelectric Materials","4.0","3.0","2.0","1.0","1.0","4","Semiconductor materials and devices|Electronic and Structural Properties of Oxides|Ferroelectric and Negative Capacitance Devices|Advanced Materials Characterization Techniques|Ferroelectric and Piezoelectric Materials"
"2024-09-11","Semiconductor materials and devices","Advanced Memory and Neural Computing","Advancements in Semiconductor Devices and Circuit Design","3D IC and TSV technologies","Advancements in Photolithography Techniques","11.0","3.0","3.0","2.0","2.0","11","Semiconductor materials and devices|Advanced Memory and Neural Computing|Advancements in Semiconductor Devices and Circuit Design|3D IC and TSV technologies|Advancements in Photolithography Techniques"
"2024-09-12","Integrated Circuits and Semiconductor Failure Analysis","Semiconductor materials and devices","3D IC and TSV technologies","Advancements in Semiconductor Devices and Circuit Design","","2.0","2.0","1.0","1.0","","2","Integrated Circuits and Semiconductor Failure Analysis|Semiconductor materials and devices|3D IC and TSV technologies|Advancements in Semiconductor Devices and Circuit Design"
"2024-09-13","Semiconductor materials and devices","Electronic and Structural Properties of Oxides","Advanced Memory and Neural Computing","Advancements in Photolithography Techniques","Advancements in Semiconductor Devices and Circuit Design","9.0","3.0","1.0","1.0","1.0","9","Semiconductor materials and devices|Electronic and Structural Properties of Oxides|Advanced Memory and Neural Computing|Advancements in Photolithography Techniques|Advancements in Semiconductor Devices and Circuit Design"
"2024-09-14","Semiconductor materials and devices","Advancements in Semiconductor Devices and Circuit Design","Diamond and Carbon-based Materials Research","Ga2O3 and related materials","GaN-based semiconductor devices and materials","3.0","1.0","1.0","1.0","1.0","3","Semiconductor materials and devices|Advancements in Semiconductor Devices and Circuit Design|Diamond and Carbon-based Materials Research|Ga2O3 and related materials|GaN-based semiconductor devices and materials"
"2024-09-15","Semiconductor materials and devices","Advanced Memory and Neural Computing","Advancements in Semiconductor Devices and Circuit Design","Copper Interconnects and Reliability","Diamond and Carbon-based Materials Research","4.0","1.0","1.0","1.0","1.0","4","Semiconductor materials and devices|Advanced Memory and Neural Computing|Advancements in Semiconductor Devices and Circuit Design|Copper Interconnects and Reliability|Diamond and Carbon-based Materials Research"
"2024-09-16","Semiconductor materials and devices","Advancements in Semiconductor Devices and Circuit Design","Catalytic Processes in Materials Science","Copper Interconnects and Reliability","GaN-based semiconductor devices and materials","14.0","4.0","3.0","3.0","3.0","14","Semiconductor materials and devices|Advancements in Semiconductor Devices and Circuit Design|Catalytic Processes in Materials Science|Copper Interconnects and Reliability|GaN-based semiconductor devices and materials"
"2024-09-17","Semiconductor materials and devices","Advanced Memory and Neural Computing","Catalytic Processes in Materials Science","Electronic and Structural Properties of Oxides","Ferroelectric and Negative Capacitance Devices","8.0","3.0","2.0","2.0","2.0","8","Semiconductor materials and devices|Advanced Memory and Neural Computing|Catalytic Processes in Materials Science|Electronic and Structural Properties of Oxides|Ferroelectric and Negative Capacitance Devices"
"2024-09-18","Semiconductor materials and devices","Advancements in Semiconductor Devices and Circuit Design","Integrated Circuits and Semiconductor Failure Analysis","Advancements in Battery Materials","Chemical and Physical Properties of Materials","7.0","3.0","2.0","1.0","1.0","7","Semiconductor materials and devices|Advancements in Semiconductor Devices and Circuit Design|Integrated Circuits and Semiconductor Failure Analysis|Advancements in Battery Materials|Chemical and Physical Properties of Materials"
"2024-09-19","Semiconductor materials and devices","Advanced Memory and Neural Computing","Catalytic Processes in Materials Science","Electronic and Structural Properties of Oxides","Ferroelectric and Negative Capacitance Devices","5.0","1.0","1.0","1.0","1.0","5","Semiconductor materials and devices|Advanced Memory and Neural Computing|Catalytic Processes in Materials Science|Electronic and Structural Properties of Oxides|Ferroelectric and Negative Capacitance Devices"
"2024-09-20","Semiconductor materials and devices","Advancements in Semiconductor Devices and Circuit Design","Electronic and Structural Properties of Oxides","Inorganic Chemistry and Materials","Integrated Circuits and Semiconductor Failure Analysis","12.0","3.0","2.0","2.0","2.0","12","Semiconductor materials and devices|Advancements in Semiconductor Devices and Circuit Design|Electronic and Structural Properties of Oxides|Inorganic Chemistry and Materials|Integrated Circuits and Semiconductor Failure Analysis"
"2024-09-21","Semiconductor materials and devices","Advanced Memory and Neural Computing","Advancements in Semiconductor Devices and Circuit Design","Catalytic Processes in Materials Science","Electronic and Structural Properties of Oxides","3.0","1.0","1.0","1.0","1.0","3","Semiconductor materials and devices|Advanced Memory and Neural Computing|Advancements in Semiconductor Devices and Circuit Design|Catalytic Processes in Materials Science|Electronic and Structural Properties of Oxides"
"2024-09-22","Semiconductor materials and devices","Acoustic Wave Resonator Technologies","Advancements in Semiconductor Devices and Circuit Design","Photonic and Optical Devices","Radio Frequency Integrated Circuit Design","2.0","1.0","1.0","1.0","1.0","2","Semiconductor materials and devices|Acoustic Wave Resonator Technologies|Advancements in Semiconductor Devices and Circuit Design|Photonic and Optical Devices|Radio Frequency Integrated Circuit Design"
"2024-09-23","Semiconductor materials and devices","Advancements in Semiconductor Devices and Circuit Design","Advanced Memory and Neural Computing","Semiconductor materials and interfaces","3D IC and TSV technologies","10.0","3.0","2.0","2.0","1.0","10","Semiconductor materials and devices|Advancements in Semiconductor Devices and Circuit Design|Advanced Memory and Neural Computing|Semiconductor materials and interfaces|3D IC and TSV technologies"
