date,close,volume,ticker
2024-09-03,178.37,10549,BBH
2024-09-04,178.1414,6198,BBH
2024-09-05,177.0525,3819,BBH
2024-09-06,175.17,3565,BBH
2024-09-09,176.72,5998,BBH
2024-09-10,177.32,4868,BBH
2024-09-11,179.0546,2657,BBH
2024-09-12,179.47,6272,BBH
2024-09-13,181.2,4307,BBH
2024-09-16,181.2,3641,BBH
2024-09-17,180.86,1490,BBH
2024-09-18,180.65,4434,BBH
2024-09-19,181.82,3207,BBH
2024-09-20,180.78,2683,BBH
2024-09-23,178.24,4463,BBH
2024-09-24,176.99,4443,BBH
2024-09-25,173.68,5891,BBH
2024-09-26,175.69,3481,BBH
2024-09-27,176.6,2178,BBH
2024-09-30,177.39,1421,BBH
2024-10-01,176.6,9075,BBH
2024-10-02,176.64,3392,BBH
2024-10-03,174.35,4204,BBH
2024-10-04,175.37,2075,BBH
2024-10-07,173.33,5234,BBH
2024-10-08,174.33,4696,BBH
2024-10-09,175.3,2660,BBH
2024-10-10,175.56,2481,BBH
2024-10-11,177.93,2326,BBH
2024-10-14,178.2,2670,BBH
2024-10-15,178.2458,5331,BBH
2024-10-16,177.935,2537,BBH
2024-10-17,177.2,4400,BBH
2024-10-18,177.37,2238,BBH
2024-10-21,175.13,3710,BBH
2024-10-22,175.17,2403,BBH
2024-10-23,173.63,3881,BBH
2024-10-24,170.87,2770,BBH
2024-10-25,170.95,2433,BBH
2024-10-28,172.3844,4171,BBH
2024-10-29,172.4,3921,BBH
2024-10-30,172.3463,2784,BBH
2024-10-31,169.63,3358,BBH
2024-11-01,170.97,2840,BBH
2024-11-04,170.41,1583,BBH
2024-11-05,173.21,2565,BBH
2024-11-06,172.75,2966,BBH
2024-11-07,174.15,4712,BBH
2024-11-08,174.8862,3138,BBH
2024-11-11,172.9,5930,BBH
2024-11-12,168.95,3301,BBH
2024-11-13,169.31,5445,BBH
2024-11-14,165.1277,17347,BBH
2024-11-15,157.91,13869,BBH
2024-11-18,157.62,16004,BBH
2024-11-19,157.9568,7736,BBH
2024-11-20,160.3775,5293,BBH
2024-11-21,162.345,10970,BBH
2024-11-22,163.97,8871,BBH
2024-11-25,165.82,9318,BBH
2024-11-26,165.44,10352,BBH
2024-11-27,167.0293,82332,BBH
2024-11-29,167.37,3004,BBH
2024-12-02,166.87,9229,BBH
2024-12-03,165.13,3044,BBH
2024-12-04,166.24,8958,BBH
2024-12-05,165.71,5923,BBH
2024-12-06,166.66,3059,BBH
2024-12-09,167.55,6588,BBH
2024-12-10,166.11,6138,BBH
2024-12-11,166.19,6731,BBH
2024-12-12,164.53,8561,BBH
2024-12-13,163.42,4109,BBH
2024-12-16,163.47,10064,BBH
2024-12-17,164.17,14579,BBH
2024-12-18,158.37,11170,BBH
2024-12-19,156.55,19162,BBH
2024-12-20,158.56,29034,BBH
2024-12-23,158.31,30075,BBH
2024-12-24,158.96,11428,BBH
2024-12-26,159.19,10751,BBH
2024-12-27,158.24,9084,BBH
2024-12-30,156.32,25329,BBH
2024-12-31,156.97,14899,BBH
2025-01-02,157.04,25020,BBH
2025-01-03,158.52,4696,BBH
2025-01-06,158.81,8792,BBH
2025-01-07,160.75,7171,BBH
2025-01-08,160.63,2538,BBH
2025-01-10,159.12,9270,BBH
2025-01-13,160.7,15276,BBH
2025-01-14,157.82,15127,BBH
2025-01-15,159.47,11349,BBH
2025-01-16,158.45,10576,BBH
2025-01-17,158.18,5034,BBH
2025-01-21,162.0,55519,BBH
2025-01-22,161.84,4527,BBH
2025-01-23,163.8109,10591,BBH
2025-01-24,163.17,8665,BBH
2025-01-27,164.57,13615,BBH
2025-01-28,164.62,8217,BBH
2025-01-29,163.75,4353,BBH
2025-01-30,165.17,6285,BBH
2025-01-31,165.25,9066,BBH
2025-02-03,165.4,11021,BBH
2025-02-04,165.16,4310,BBH
2025-02-05,169.58,5729,BBH
2025-02-06,167.45,4111,BBH
2025-02-07,163.01,7932,BBH
2025-02-10,161.61,6350,BBH
2025-02-11,159.05,19202,BBH
2025-02-12,160.54,8898,BBH
2025-02-13,161.75,5182,BBH
2025-02-14,160.56,9858,BBH
2025-02-18,161.37,10709,BBH
2025-02-19,163.55,4943,BBH
2025-02-20,164.63,5461,BBH
2025-02-21,165.445,19838,BBH
2025-02-24,165.96,6659,BBH
2025-02-25,165.77,7300,BBH
2025-02-26,164.74,7069,BBH
2025-02-27,162.86,3649,BBH
2025-02-28,164.58,3931,BBH
2025-03-03,162.46,4864,BBH
2025-03-04,162.38,12744,BBH
2025-03-05,165.5,5592,BBH
2025-03-06,164.605,4526,BBH
2025-03-07,165.98,15268,BBH
2025-03-10,165.0,8925,BBH
2025-03-11,161.78,6828,BBH
2025-03-12,161.9,4640,BBH
2025-03-13,161.06,6628,BBH
2025-03-14,162.66,7152,BBH
2025-03-17,164.34,8783,BBH
2025-03-18,162.55,8151,BBH
2025-03-19,162.46,6550,BBH
2025-03-20,160.0,8658,BBH
2025-03-21,161.98,2805,BBH
2025-03-24,162.87,9126,BBH
2025-03-25,160.64,2111,BBH
2025-03-26,158.92,3278,BBH
2025-03-27,159.77,1883,BBH
2025-03-28,158.43,3163,BBH
2025-03-31,157.33,9316,BBH
2025-04-01,153.99,7037,BBH
2025-04-02,155.8,9806,BBH
2025-04-03,154.14,16852,BBH
2025-04-04,145.87,20288,BBH
2025-04-07,144.52,41386,BBH
2025-04-08,140.1,28320,BBH
2025-04-09,147.33,60294,BBH
2025-04-10,140.59,78034,BBH
2025-04-11,144.32,17294,BBH
2025-04-14,148.63,16732,BBH
2025-04-15,147.74,7070,BBH
2025-04-16,144.97,14860,BBH
2025-04-17,144.52,8721,BBH
2025-04-21,143.18,18475,BBH
2025-04-22,146.36,22879,BBH
2025-04-23,147.9,3266,BBH
2025-04-24,150.17,3593,BBH
2025-04-25,148.8,3399,BBH
2025-04-28,150.18,9596,BBH
2025-04-29,151.02,14963,BBH
2025-04-30,152.6,7499,BBH
2025-05-01,149.93,10252,BBH
2025-05-02,151.82,5459,BBH
2025-05-05,151.8,11815,BBH
2025-05-06,143.67,9373,BBH
2025-05-07,144.68,5142,BBH
2025-05-08,143.09,12961,BBH
2025-05-09,140.05,16855,BBH
2025-05-12,146.41,21233,BBH
2025-05-13,143.63,14714,BBH
2025-05-14,140.24,8151,BBH
2025-05-15,143.38,23209,BBH
2025-05-16,145.53,16000,BBH
2025-05-19,147.74,14815,BBH
2025-05-20,149.49,13051,BBH
2025-05-21,146.43,13089,BBH
2025-05-22,146.04,17038,BBH
2025-05-23,146.33,6058,BBH
2025-05-27,149.09,11519,BBH
2025-05-28,148.17,14550,BBH
2025-05-29,150.43,11029,BBH
2025-05-30,148.34,10914,BBH
2025-06-02,149.4,10374,BBH
2025-06-03,150.66,9616,BBH
2025-06-04,151.18,41223,BBH
2025-06-05,150.74,10531,BBH
2025-06-06,152.55,6795,BBH
2025-06-09,153.06,11211,BBH
2025-06-10,155.04,9034,BBH
2025-06-11,154.68,7119,BBH
2025-06-12,156.07,4908,BBH
2025-06-13,155.32,9437,BBH
2025-06-16,154.79,13177,BBH
2025-06-17,151.66,3428,BBH
2025-06-18,152.17,7021,BBH
2025-06-20,152.525,9730,BBH
2025-06-23,150.79,13679,BBH
2025-06-24,153.23,8291,BBH
2025-06-25,152.56,8421,BBH
2025-06-26,152.73,4535,BBH
2025-06-27,152.84,7105,BBH
2025-06-30,153.28,9697,BBH
2025-07-01,155.51,8074,BBH
2025-07-02,157.47,5789,BBH
2025-07-03,157.7,6745,BBH
2025-07-07,155.68,10118,BBH
2025-07-08,157.4,3753,BBH
2025-07-09,159.05,7000,BBH
2025-07-10,161.14,7558,BBH
2025-07-11,158.22,10761,BBH
2025-07-14,158.76,7268,BBH
2025-07-15,155.85,4905,BBH
2025-07-16,157.878,4975,BBH
2025-07-17,157.9248,7311,BBH
