date,close,volume,ticker
2024-09-03,66.14,1552103,IYH
2024-09-04,66.02,161278,IYH
2024-09-05,65.2,873902,IYH
2024-09-06,64.94,525550,IYH
2024-09-09,65.44,578219,IYH
2024-09-10,65.69,141145,IYH
2024-09-11,65.55,139710,IYH
2024-09-12,65.81,219714,IYH
2024-09-13,65.97,127606,IYH
2024-09-16,66.35,159114,IYH
2024-09-17,65.74,100229,IYH
2024-09-18,65.58,440336,IYH
2024-09-19,65.91,202947,IYH
2024-09-20,65.63,423608,IYH
2024-09-23,65.5,221964,IYH
2024-09-24,65.38,1444718,IYH
2024-09-25,64.5,147664,IYH
2024-09-26,64.66,127110,IYH
2024-09-27,64.61,254720,IYH
2024-09-30,65.0,213056,IYH
2024-10-01,64.62,187449,IYH
2024-10-02,64.5,171578,IYH
2024-10-03,63.85,152792,IYH
2024-10-04,63.96,147459,IYH
2024-10-07,63.61,123446,IYH
2024-10-08,63.93,477818,IYH
2024-10-09,64.55,169371,IYH
2024-10-10,64.32,101213,IYH
2024-10-11,64.88,92085,IYH
2024-10-14,65.24,89280,IYH
2024-10-15,64.45,163457,IYH
2024-10-16,64.65,104124,IYH
2024-10-17,64.31,91870,IYH
2024-10-18,64.7,117902,IYH
2024-10-21,63.93,89277,IYH
2024-10-22,63.85,118009,IYH
2024-10-23,63.54,275710,IYH
2024-10-24,63.14,205233,IYH
2024-10-25,62.72,103967,IYH
2024-10-28,62.83,72289,IYH
2024-10-29,62.73,155995,IYH
2024-10-30,62.69,277968,IYH
2024-10-31,62.05,151179,IYH
2024-11-01,62.41,127652,IYH
2024-11-04,62.07,680554,IYH
2024-11-05,62.51,82065,IYH
2024-11-06,62.45,236500,IYH
2024-11-07,62.86,219433,IYH
2024-11-08,63.41,332649,IYH
2024-11-11,63.07,215876,IYH
2024-11-12,62.18,209819,IYH
2024-11-13,61.99,175498,IYH
2024-11-14,60.99,623834,IYH
2024-11-15,59.76,838519,IYH
2024-11-18,59.7,392317,IYH
2024-11-19,59.49,363904,IYH
2024-11-20,60.17,304375,IYH
2024-11-21,60.65,204235,IYH
2024-11-22,60.74,211535,IYH
2024-11-25,61.3,231063,IYH
2024-11-26,61.68,365857,IYH
2024-11-27,61.95,210819,IYH
2024-11-29,62.12,79565,IYH
2024-12-02,62.02,216705,IYH
2024-12-03,61.86,145982,IYH
2024-12-04,61.97,238089,IYH
2024-12-05,61.23,228265,IYH
2024-12-06,61.01,547126,IYH
2024-12-09,61.21,667340,IYH
2024-12-10,60.97,174683,IYH
2024-12-11,60.19,616509,IYH
2024-12-12,59.71,346968,IYH
2024-12-13,59.69,439383,IYH
2024-12-16,59.1,308514,IYH
2024-12-17,58.93,423298,IYH
2024-12-18,57.9,537322,IYH
2024-12-19,57.55,1454884,IYH
2024-12-20,58.3,513202,IYH
2024-12-23,58.81,287613,IYH
2024-12-24,59.05,287923,IYH
2024-12-26,59.15,217765,IYH
2024-12-27,58.88,243693,IYH
2024-12-30,58.17,314712,IYH
2024-12-31,58.27,386522,IYH
2025-01-02,58.34,282547,IYH
2025-01-03,58.89,251885,IYH
2025-01-06,58.88,310949,IYH
2025-01-07,59.2,385673,IYH
2025-01-08,59.51,278588,IYH
2025-01-10,59.15,417698,IYH
2025-01-13,59.9,350266,IYH
2025-01-14,59.27,433095,IYH
2025-01-15,59.49,440004,IYH
2025-01-16,59.73,203728,IYH
2025-01-17,59.31,305239,IYH
2025-01-21,60.31,427104,IYH
2025-01-22,60.22,317655,IYH
2025-01-23,60.95,461621,IYH
2025-01-24,61.04,605391,IYH
2025-01-27,62.34,411362,IYH
2025-01-28,61.91,323027,IYH
2025-01-29,61.55,354182,IYH
2025-01-30,62.3,326154,IYH
2025-01-31,62.05,226327,IYH
2025-02-03,62.32,362279,IYH
2025-02-04,62.09,453699,IYH
2025-02-05,62.76,213575,IYH
2025-02-06,62.2,293178,IYH
2025-02-07,61.82,421091,IYH
2025-02-10,61.73,331243,IYH
2025-02-11,61.51,239208,IYH
2025-02-12,61.38,256032,IYH
2025-02-13,61.6,190445,IYH
2025-02-14,60.93,282030,IYH
2025-02-18,60.79,208678,IYH
2025-02-19,61.54,126582,IYH
2025-02-20,61.9,146092,IYH
2025-02-21,61.56,321253,IYH
2025-02-24,62.02,127230,IYH
2025-02-25,62.49,292282,IYH
2025-02-26,62.07,201777,IYH
2025-02-27,61.74,472115,IYH
2025-02-28,62.43,431170,IYH
2025-03-03,62.58,208990,IYH
2025-03-04,62.02,298010,IYH
2025-03-05,62.64,702909,IYH
2025-03-06,62.48,210005,IYH
2025-03-07,62.5,247077,IYH
2025-03-10,61.73,345891,IYH
2025-03-11,61.02,800484,IYH
2025-03-12,60.44,273996,IYH
2025-03-13,60.07,379487,IYH
2025-03-14,60.59,211096,IYH
2025-03-17,61.35,212292,IYH
2025-03-18,61.16,185034,IYH
2025-03-19,61.21,220939,IYH
2025-03-20,61.23,389911,IYH
2025-03-21,61.14,213706,IYH
2025-03-24,61.64,196450,IYH
2025-03-25,60.83,394278,IYH
2025-03-26,60.49,474843,IYH
2025-03-27,60.62,173143,IYH
2025-03-28,60.37,204223,IYH
2025-03-31,60.89,253784,IYH
2025-04-01,59.8,176353,IYH
2025-04-02,60.17,174311,IYH
2025-04-03,59.57,820740,IYH
2025-04-04,56.29,845826,IYH
2025-04-07,55.98,869955,IYH
2025-04-08,55.3,539077,IYH
2025-04-09,57.82,827882,IYH
2025-04-10,56.09,542251,IYH
2025-04-11,56.91,271673,IYH
2025-04-14,57.6,259831,IYH
2025-04-15,57.22,445992,IYH
2025-04-16,56.69,272102,IYH
2025-04-17,56.33,289646,IYH
2025-04-21,55.15,691508,IYH
2025-04-22,56.19,182122,IYH
2025-04-23,56.55,149804,IYH
2025-04-24,57.31,268882,IYH
2025-04-25,57.58,660203,IYH
2025-04-28,57.81,310003,IYH
2025-04-29,58.13,289171,IYH
2025-04-30,58.56,149443,IYH
2025-05-01,56.91,213355,IYH
2025-05-02,57.82,404139,IYH
2025-05-05,57.64,357528,IYH
2025-05-06,56.02,335199,IYH
2025-05-07,56.42,202932,IYH
2025-05-08,56.0,278996,IYH
2025-05-09,55.35,188311,IYH
2025-05-12,56.88,462717,IYH
2025-05-13,55.21,835248,IYH
2025-05-14,53.97,851528,IYH
2025-05-15,54.65,1578404,IYH
2025-05-16,55.72,579477,IYH
2025-05-19,56.23,518929,IYH
2025-05-20,56.36,404189,IYH
2025-05-21,54.98,432080,IYH
2025-05-22,54.61,255377,IYH
2025-05-23,54.49,180591,IYH
2025-05-27,55.3,227671,IYH
2025-05-28,54.96,289104,IYH
2025-05-29,55.43,268145,IYH
2025-05-30,55.52,373585,IYH
2025-06-02,55.56,854613,IYH
2025-06-03,55.72,452044,IYH
2025-06-04,55.86,358871,IYH
2025-06-05,55.82,412782,IYH
2025-06-06,56.31,410838,IYH
2025-06-09,56.23,808194,IYH
2025-06-10,56.85,620880,IYH
2025-06-11,56.83,498987,IYH
2025-06-12,57.25,518739,IYH
2025-06-13,56.9,603524,IYH
2025-06-16,56.6,1538812,IYH
2025-06-17,55.66,309355,IYH
2025-06-18,55.56,472245,IYH
2025-06-20,55.36,290549,IYH
2025-06-23,55.4,388072,IYH
2025-06-24,56.09,1678521,IYH
2025-06-25,56.14,575946,IYH
2025-06-26,56.24,379274,IYH
2025-06-27,56.17,255896,IYH
2025-06-30,56.48,416383,IYH
2025-07-01,57.27,604624,IYH
2025-07-02,56.82,423759,IYH
2025-07-03,56.85,261111,IYH
2025-07-07,56.28,464109,IYH
2025-07-08,56.56,477909,IYH
2025-07-09,56.83,344859,IYH
2025-07-10,57.26,361481,IYH
2025-07-11,56.69,426113,IYH
2025-07-14,56.71,330079,IYH
2025-07-15,55.64,486223,IYH
2025-07-16,56.36,600984,IYH
2025-07-17,55.72,472372,IYH
2025-07-18,55.35,493519,IYH
2025-07-21,55.01,472222,IYH
2025-07-22,56.11,577620,IYH
2025-07-23,57.26,513694,IYH
2025-07-24,57.04,1194411,IYH
2025-07-25,57.36,355053,IYH
2025-07-28,56.91,1695374,IYH
2025-07-29,56.48,433191,IYH
2025-07-30,56.34,438112,IYH
2025-07-31,54.85,1477435,IYH
2025-08-01,55.17,779409,IYH
2025-08-04,55.96,570071,IYH
2025-08-05,55.73,472921,IYH
2025-08-06,54.88,565138,IYH
2025-08-07,54.36,817658,IYH
2025-08-08,54.82,472361,IYH
2025-08-11,54.86,503580,IYH
2025-08-12,55.31,427229,IYH
2025-08-13,56.22,606363,IYH
2025-08-14,56.48,594722,IYH
2025-08-15,57.43,810175,IYH
2025-08-18,57.28,651543,IYH
2025-08-19,57.58,675875,IYH
2025-08-20,57.87,655558,IYH
2025-08-21,57.69,746061,IYH
2025-08-22,58.23,593719,IYH
2025-08-25,57.38,536118,IYH
2025-08-26,57.74,1513693,IYH
2025-08-27,57.76,347122,IYH
2025-08-28,57.51,503699,IYH
2025-08-29,57.87,462509,IYH
