date,close,volume,ticker
2024-09-03,53.0,159284,PSI
2024-09-04,53.33,128955,PSI
2024-09-05,52.94,153433,PSI
2024-09-06,50.78,149042,PSI
2024-09-09,51.35,67801,PSI
2024-09-10,51.73,81439,PSI
2024-09-11,53.87,183759,PSI
2024-09-12,53.43,63362,PSI
2024-09-13,54.66,56290,PSI
2024-09-16,53.44,58987,PSI
2024-09-17,53.85,86306,PSI
2024-09-18,53.28,77305,PSI
2024-09-19,55.59,116908,PSI
2024-09-20,54.88,78905,PSI
2024-09-23,55.11,1059340,PSI
2024-09-24,55.75,144398,PSI
2024-09-25,56.11,125475,PSI
2024-09-26,58.88,181804,PSI
2024-09-27,57.91,159620,PSI
2024-09-30,57.52,96427,PSI
2024-10-01,55.42,111674,PSI
2024-10-02,56.42,54681,PSI
2024-10-03,56.05,93477,PSI
2024-10-04,57.22,103275,PSI
2024-10-07,57.25,60188,PSI
2024-10-08,57.41,70469,PSI
2024-10-09,58.26,72370,PSI
2024-10-10,58.16,38336,PSI
2024-10-11,59.12,69369,PSI
2024-10-14,60.18,128170,PSI
2024-10-15,56.83,93945,PSI
2024-10-16,56.93,85310,PSI
2024-10-17,57.05,77280,PSI
2024-10-18,57.02,40767,PSI
2024-10-21,56.85,67301,PSI
2024-10-22,56.52,45372,PSI
2024-10-23,56.06,55430,PSI
2024-10-24,56.2,41780,PSI
2024-10-25,57.07,62771,PSI
2024-10-28,57.01,34036,PSI
2024-10-29,58.21,45478,PSI
2024-10-30,56.8,61544,PSI
2024-10-31,54.31,73470,PSI
2024-11-01,54.64,90175,PSI
2024-11-04,54.22,47429,PSI
2024-11-05,55.73,60970,PSI
2024-11-06,57.61,72116,PSI
2024-11-07,59.02,70843,PSI
2024-11-08,58.77,49537,PSI
2024-11-11,57.48,49489,PSI
2024-11-12,56.76,58047,PSI
2024-11-13,55.54,86199,PSI
2024-11-14,55.42,62665,PSI
2024-11-15,53.26,82152,PSI
2024-11-18,54.06,47249,PSI
2024-11-19,54.53,48679,PSI
2024-11-20,54.53,44091,PSI
2024-11-21,56.38,140924,PSI
2024-11-22,56.4,46720,PSI
2024-11-25,57.16,58014,PSI
2024-11-26,56.69,84716,PSI
2024-11-27,55.69,40767,PSI
2024-11-29,56.82,34559,PSI
2024-12-02,57.84,55778,PSI
2024-12-03,58.7055,42036,PSI
2024-12-04,59.42,45579,PSI
2024-12-05,57.64,88374,PSI
2024-12-06,58.64,50775,PSI
2024-12-09,59.15,55879,PSI
2024-12-10,57.67,40846,PSI
2024-12-11,59.3,40307,PSI
2024-12-12,58.675,47058,PSI
2024-12-13,59.83,36116,PSI
2024-12-16,60.98,78814,PSI
2024-12-17,60.21,55747,PSI
2024-12-18,58.12,67926,PSI
2024-12-19,57.19,48134,PSI
2024-12-20,57.95,47588,PSI
2024-12-23,59.23,49355,PSI
2024-12-24,59.91,30411,PSI
2024-12-26,60.27,25655,PSI
2024-12-27,59.44,25450,PSI
2024-12-30,58.2,31460,PSI
2024-12-31,57.92,25265,PSI
2025-01-02,58.64,42110,PSI
2025-01-03,60.24,41057,PSI
2025-01-06,62.13,64302,PSI
2025-01-07,61.44,59454,PSI
2025-01-08,61.23,44452,PSI
2025-01-10,60.02,93381,PSI
2025-01-13,59.55,57065,PSI
2025-01-14,60.53,38641,PSI
2025-01-15,61.75,50807,PSI
2025-01-16,62.23,41411,PSI
2025-01-17,63.64,137728,PSI
2025-01-21,64.52,69391,PSI
2025-01-22,64.98,109892,PSI
2025-01-23,64.54,52774,PSI
2025-01-24,63.17,66637,PSI
2025-01-27,56.57,194128,PSI
2025-01-28,57.14,70341,PSI
2025-01-29,57.57,43243,PSI
2025-01-30,59.7,43620,PSI
2025-01-31,59.8,62144,PSI
2025-02-03,58.76,80124,PSI
2025-02-04,59.42,31624,PSI
2025-02-05,61.41,53706,PSI
2025-02-06,60.73,60092,PSI
2025-02-07,59.3,108309,PSI
2025-02-10,59.57,51877,PSI
