date,close,volume,ticker
2024-09-03,225.19,14466252,SMH
2024-09-04,224.65,8646295,SMH
2024-09-05,224.26,6535443,SMH
2024-09-06,215.0,12019320,SMH
2024-09-09,219.86,7933427,SMH
2024-09-10,221.94,7651577,SMH
2024-09-11,233.4,11148303,SMH
2024-09-12,233.9,8212412,SMH
2024-09-13,236.91,6405793,SMH
2024-09-16,233.8,5505227,SMH
2024-09-17,233.72,4722843,SMH
2024-09-18,231.06,7299791,SMH
2024-09-19,241.09,11254192,SMH
2024-09-20,237.9,8183279,SMH
2024-09-23,238.95,3781433,SMH
2024-09-24,243.4,5435856,SMH
2024-09-25,245.54,4978310,SMH
2024-09-26,252.62,10082089,SMH
2024-09-27,247.74,7128566,SMH
2024-09-30,245.45,6256911,SMH
2024-10-01,238.88,7751838,SMH
2024-10-02,242.32,5842606,SMH
2024-10-03,244.55,5926885,SMH
2024-10-04,247.82,5776498,SMH
2024-10-07,248.22,4958756,SMH
2024-10-08,252.52,4435348,SMH
2024-10-09,255.15,4063391,SMH
2024-10-10,254.65,4044564,SMH
2024-10-11,256.69,4202875,SMH
2024-10-14,261.28,4608583,SMH
2024-10-15,247.16,14128878,SMH
2024-10-16,247.32,5692277,SMH
2024-10-17,251.58,6744992,SMH
2024-10-18,251.51,3720736,SMH
2024-10-21,252.84,3923395,SMH
2024-10-22,251.69,3629141,SMH
2024-10-23,249.01,4971630,SMH
2024-10-24,250.06,2595528,SMH
2024-10-25,252.96,6835930,SMH
2024-10-28,251.21,3557268,SMH
2024-10-29,256.92,5392840,SMH
2024-10-30,250.68,5348394,SMH
2024-10-31,241.68,9464712,SMH
2024-11-01,244.75,5520983,SMH
2024-11-04,244.27,5199206,SMH
2024-11-05,248.31,4344210,SMH
2024-11-06,254.81,7284403,SMH
2024-11-07,261.02,5370187,SMH
2024-11-08,259.34,3915598,SMH
2024-11-11,253.53,7667252,SMH
2024-11-12,251.86,6574034,SMH
2024-11-13,247.63,5537892,SMH
2024-11-14,248.18,4607584,SMH
2024-11-15,239.95,9499673,SMH
2024-11-18,241.54,7707042,SMH
2024-11-19,244.18,4505181,SMH
2024-11-20,242.54,7585585,SMH
2024-11-21,246.1,8825388,SMH
2024-11-22,244.62,4746337,SMH
2024-11-25,243.66,4562667,SMH
2024-11-26,241.42,4996487,SMH
2024-11-27,238.25,6911612,SMH
2024-11-29,242.13,5607353,SMH
2024-12-02,247.87,8070277,SMH
2024-12-03,248.42,3227262,SMH
2024-12-04,252.63,5457365,SMH
2024-12-05,248.3,3872077,SMH
2024-12-06,248.61,3885289,SMH
2024-12-09,246.07,4532551,SMH
2024-12-10,239.88,6402370,SMH
2024-12-11,245.75,5588413,SMH
2024-12-12,243.37,3979280,SMH
2024-12-13,249.49,8628587,SMH
2024-12-16,253.25,4892952,SMH
2024-12-17,249.96,4027848,SMH
2024-12-18,241.99,8125847,SMH
2024-12-19,238.87,6895880,SMH
2024-12-20,242.71,6909310,SMH
2024-12-23,249.22,6650078,SMH
2024-12-24,251.37,2097390,SMH
2024-12-26,250.93,2171444,SMH
2024-12-27,248.4,3812328,SMH
2024-12-30,244.66,3532095,SMH
2024-12-31,242.17,3071840,SMH
2025-01-02,244.79,4464000,SMH
2025-01-03,251.88,4997025,SMH
2025-01-06,260.23,10533193,SMH
2025-01-07,254.04,7661073,SMH
2025-01-08,252.23,5189522,SMH
2025-01-10,247.18,6901514,SMH
2025-01-13,244.64,6007459,SMH
2025-01-14,245.44,3791539,SMH
2025-01-15,251.21,5316796,SMH
2025-01-16,252.29,5696146,SMH
2025-01-17,258.25,5387323,SMH
2025-01-21,262.39,4922970,SMH
2025-01-22,267.17,6616460,SMH
2025-01-23,266.85,4704876,SMH
2025-01-24,261.53,5119857,SMH
2025-01-27,235.81,21944880,SMH
2025-01-28,240.45,11707323,SMH
2025-01-29,239.53,8366035,SMH
2025-01-30,245.17,7676288,SMH
2025-01-31,243.62,8021088,SMH
