date,close,volume,ticker
2024-09-03,286.95,208457,VHT
2024-09-04,286.49,90911,VHT
2024-09-05,282.84,99402,VHT
2024-09-06,281.39,242873,VHT
2024-09-09,283.34,107723,VHT
2024-09-10,284.5,116727,VHT
2024-09-11,283.82,187951,VHT
2024-09-12,285.26,181279,VHT
2024-09-13,286.14,93097,VHT
2024-09-16,287.86,101003,VHT
2024-09-17,285.36,80158,VHT
2024-09-18,284.83,169623,VHT
2024-09-19,286.45,124947,VHT
2024-09-20,285.07,115625,VHT
2024-09-23,284.1,225163,VHT
2024-09-24,283.4,106553,VHT
2024-09-25,280.59,230800,VHT
2024-09-26,281.65,110360,VHT
2024-09-27,280.29,154046,VHT
2024-09-30,282.2,149268,VHT
2024-10-01,280.36,245281,VHT
2024-10-02,280.09,149090,VHT
2024-10-03,277.34,135032,VHT
2024-10-04,277.81,122687,VHT
2024-10-07,276.36,93116,VHT
2024-10-08,277.83,114033,VHT
2024-10-09,280.21,174623,VHT
2024-10-10,279.27,239014,VHT
2024-10-11,281.76,151141,VHT
2024-10-14,283.3,106974,VHT
2024-10-15,280.48,161987,VHT
2024-10-16,281.56,167481,VHT
2024-10-17,279.9,134816,VHT
2024-10-18,281.33,78711,VHT
2024-10-21,277.92,106751,VHT
2024-10-22,277.45,84402,VHT
2024-10-23,275.72,137886,VHT
2024-10-24,274.05,108930,VHT
2024-10-25,272.64,133755,VHT
2024-10-28,273.37,80351,VHT
2024-10-29,272.8,102162,VHT
2024-10-30,272.37,227763,VHT
2024-10-31,269.68,113168,VHT
2024-11-01,271.72,182303,VHT
2024-11-04,270.31,118967,VHT
2024-11-05,272.6,111887,VHT
2024-11-06,273.56,413471,VHT
2024-11-07,275.36,152164,VHT
2024-11-08,277.47,137966,VHT
2024-11-11,276.16,159451,VHT
2024-11-12,272.15,477255,VHT
2024-11-13,271.29,155228,VHT
2024-11-14,266.57,306763,VHT
2024-11-15,260.77,694702,VHT
2024-11-18,260.78,311167,VHT
2024-11-19,260.25,455086,VHT
2024-11-20,263.01,309178,VHT
2024-11-21,265.37,256734,VHT
2024-11-22,265.83,258563,VHT
2024-11-25,268.46,250418,VHT
2024-11-26,269.92,179311,VHT
2024-11-27,271.38,177439,VHT
2024-11-29,272.24,76423,VHT
2024-12-02,271.65,252926,VHT
