date,close,volume,ticker
2024-09-03,222.36,66500,XSD
2024-09-04,223.21,50001,XSD
2024-09-05,221.14,47460,XSD
2024-09-06,211.89,63602,XSD
2024-09-09,215.54,85606,XSD
2024-09-10,216.25,35208,XSD
2024-09-11,224.97,107931,XSD
2024-09-12,223.48,47133,XSD
2024-09-13,228.45,36205,XSD
2024-09-16,225.73,75028,XSD
2024-09-17,226.68,73424,XSD
2024-09-18,225.95,78279,XSD
2024-09-19,234.8,50943,XSD
2024-09-20,231.06,36454,XSD
2024-09-23,231.84,40611,XSD
2024-09-24,234.13,42151,XSD
2024-09-25,233.25,114204,XSD
2024-09-26,243.8,96914,XSD
2024-09-27,242.65,44156,XSD
2024-09-30,240.25,31528,XSD
2024-10-01,231.92,35157,XSD
2024-10-02,234.46,46367,XSD
2024-10-03,234.01,19611,XSD
2024-10-04,238.25,46184,XSD
2024-10-07,236.8,20303,XSD
2024-10-08,237.83,23436,XSD
2024-10-09,240.95,34216,XSD
2024-10-10,239.71,35060,XSD
2024-10-11,244.57,24077,XSD
2024-10-14,247.32,29752,XSD
2024-10-15,240.67,49999,XSD
2024-10-16,242.2,30542,XSD
2024-10-17,243.06,83639,XSD
2024-10-18,243.04,24789,XSD
2024-10-21,242.23,61437,XSD
2024-10-22,242.25,20783,XSD
2024-10-23,240.05,29869,XSD
2024-10-24,241.21,16534,XSD
2024-10-25,243.91,20316,XSD
2024-10-28,246.83,89851,XSD
2024-10-29,252.5,29641,XSD
2024-10-30,241.75,47948,XSD
2024-10-31,229.49,74806,XSD
2024-11-01,234.42,31648,XSD
2024-11-04,233.24,40601,XSD
2024-11-05,236.91,38449,XSD
2024-11-06,246.83,107526,XSD
2024-11-07,249.61,42548,XSD
2024-11-08,251.56,32112,XSD
2024-11-11,244.57,49319,XSD
2024-11-12,239.83,41390,XSD
2024-11-13,234.59,28981,XSD
2024-11-14,232.72,33899,XSD
2024-11-15,225.16,35157,XSD
2024-11-18,228.59,25748,XSD
2024-11-19,230.81,19769,XSD
2024-11-20,230.92,69268,XSD
2024-11-21,237.43,39175,XSD
2024-11-22,241.06,20551,XSD
2024-11-25,248.77,36275,XSD
2024-11-26,245.99,48295,XSD
2024-11-27,243.24,32813,XSD
2024-11-29,247.82,14894,XSD
2024-12-02,252.68,60504,XSD
2024-12-03,257.81,56851,XSD
2024-12-04,258.84,22985,XSD
2024-12-05,253.34,20184,XSD
2024-12-06,257.76,15465,XSD
2024-12-09,259.5,60170,XSD
2024-12-10,253.01,81631,XSD
2024-12-11,260.01,73627,XSD
2024-12-12,257.48,49386,XSD
2024-12-13,262.73,18791,XSD
2024-12-16,265.16,30966,XSD
2024-12-17,259.3,32125,XSD
2024-12-18,247.79,61033,XSD
2024-12-19,245.1,35014,XSD
2024-12-20,248.46,33195,XSD
2024-12-23,254.68,26159,XSD
2024-12-24,257.71,11559,XSD
2024-12-26,259.81,18315,XSD
2024-12-27,256.2,18622,XSD
2024-12-30,250.33,27682,XSD
2024-12-31,248.45,71057,XSD
2025-01-02,252.06,41491,XSD
2025-01-03,258.8,49849,XSD
2025-01-06,264.78,38100,XSD
2025-01-07,260.45,29500,XSD
2025-01-08,255.95,23801,XSD
2025-01-10,250.02,20068,XSD
2025-01-13,247.75,23370,XSD
2025-01-14,249.55,22624,XSD
2025-01-15,257.88,31737,XSD
2025-01-16,255.74,37892,XSD
2025-01-17,264.39,16764,XSD
2025-01-21,268.42,44533,XSD
2025-01-22,269.41,226487,XSD
2025-01-23,270.08,15674,XSD
2025-01-24,263.55,34418,XSD
2025-01-27,241.34,347925,XSD
2025-01-28,242.93,155681,XSD
2025-01-29,244.16,35282,XSD
2025-01-30,248.32,21293,XSD
2025-01-31,248.75,26915,XSD
2025-02-03,244.08,41440,XSD
2025-02-04,247.92,18463,XSD
2025-02-05,253.84,39109,XSD
2025-02-06,246.93,50352,XSD
2025-02-07,242.25,45908,XSD
2025-02-10,239.83,22838,XSD
2025-02-11,237.75,31401,XSD
2025-02-12,238.46,43015,XSD
2025-02-13,241.77,27510,XSD
2025-02-14,243.91,20638,XSD
2025-02-18,252.06,85639,XSD
2025-02-19,254.84,29502,XSD
