feature,coef,importance,sign
top5_4w_Ethics and Social Impacts of AI,-1.215345554953728,1.215345554953728,-1.0
top5_Ethics and Social Impacts of AI,0.8982525617661082,0.8982525617661082,1.0
top5_4w_Clinical Reasoning and Diagnostic Skills,0.8828846824148261,0.8828846824148261,1.0
"top5_Healthcare cost, quality, practices",-0.8167016098908656,0.8167016098908656,-1.0
top5_Machine Learning in Healthcare,-0.663250810021789,0.663250810021789,-1.0
top5_COVID-19 diagnosis using AI,0.6346695018015466,0.6346695018015466,1.0
top5_Clinical Reasoning and Diagnostic Skills,0.5978023734851978,0.5978023734851978,1.0
top5_4w_infrequent_sklearn,-0.5716701457027069,0.5716701457027069,-1.0
top5_4w_Radiomics and Machine Learning in Medical Imaging,0.5515945118978742,0.5515945118978742,1.0
top5_4w_Ethics in Clinical Research,0.47703204299405644,0.47703204299405644,1.0
top2_Ethics in Clinical Research,-0.44567777580522794,0.44567777580522794,-1.0
vol_4w,-0.3951216803906257,0.3951216803906257,-1.0
top2_AI in cancer detection,0.3876380685658925,0.3876380685658925,1.0
top5_Online Learning and Analytics,-0.3721097616249091,0.3721097616249091,-1.0
top2_Explainable Artificial Intelligence (XAI),0.36756696212942513,0.36756696212942513,1.0
top2_Artificial Intelligence in Healthcare,0.3667188895546823,0.3667188895546823,1.0
top2_4w_Machine Learning in Healthcare,-0.3637510980172925,0.3637510980172925,-1.0
top5_Ethics in Clinical Research,-0.345779230875237,0.345779230875237,-1.0
top2_4w_COVID-19 diagnosis using AI,0.3445894628826706,0.3445894628826706,1.0
top5_Artificial Intelligence in Healthcare,0.33676674103239373,0.33676674103239373,1.0
top2_Radiomics and Machine Learning in Medical Imaging,-0.3332665055630019,0.3332665055630019,-1.0
pub_4w,0.32872543565145085,0.32872543565145085,1.0
top5_4w_Topic Modeling,0.3265978781201618,0.3265978781201618,1.0
top5_Radiomics and Machine Learning in Medical Imaging,-0.3112442168442941,0.3112442168442941,-1.0
top2_4w_Radiomics and Machine Learning in Medical Imaging,-0.269188530731779,0.269188530731779,-1.0
top5_Advanced X-ray and CT Imaging,0.263641912488746,0.263641912488746,1.0
top5_4w_Explainable Artificial Intelligence (XAI),-0.24528637854831492,0.24528637854831492,-1.0
top2_4w_infrequent_sklearn,0.2427128940759414,0.2427128940759414,1.0
top5_Radiology practices and education,-0.2323061412935331,0.2323061412935331,-1.0
top5_AI in Service Interactions,-0.20906158293280386,0.20906158293280386,-1.0
top5_Biomedical and Engineering Education,0.2079992324377933,0.2079992324377933,1.0
top2_Autopsy Techniques and Outcomes,-0.20170723724363476,0.20170723724363476,-1.0
top5_4w_Online Learning and Analytics,-0.18370730922103334,0.18370730922103334,-1.0
top2_Ethics and Social Impacts of AI,-0.17646672372669317,0.17646672372669317,-1.0
top3_4w_share,-0.17040237374561254,0.17040237374561254,-1.0
top5_Autopsy Techniques and Outcomes,0.12834172574435365,0.12834172574435365,1.0
top5_4w_share,-0.12446310638326039,0.12446310638326039,-1.0
top5_infrequent_sklearn,-0.12225786338743024,0.12225786338743024,-1.0
top5_4w_Artificial Intelligence in Healthcare,-0.1218165434923865,0.1218165434923865,-1.0
ret_5d,-0.10893021008773933,0.10893021008773933,-1.0
"top5_Cardiac, Anesthesia and Surgical Outcomes",-0.07660401725757356,0.07660401725757356,-1.0
vol_growth,-0.07598221315084762,0.07598221315084762,-1.0
top5_AI in cancer detection,0.05619243375700495,0.05619243375700495,1.0
top5_4w_AI in Service Interactions,0.054079544700792674,0.054079544700792674,1.0
top2_infrequent_sklearn,-0.05112693079686728,0.05112693079686728,-1.0
top2_COVID-19 diagnosis using AI,0.04365724512890196,0.04365724512890196,1.0
top2_Machine Learning in Healthcare,-0.0332205710503252,0.0332205710503252,-1.0
top2_AI in Service Interactions,0.03024730701638947,0.03024730701638947,1.0
top5_Topic Modeling,-0.016376033147568556,0.016376033147568556,-1.0
pub_growth,-0.014403913102752752,0.014403913102752752,-1.0
top5_Explainable Artificial Intelligence (XAI),-0.0036124870275989276,0.0036124870275989276,-1.0
