feature,importance
top2_4w_COVID-19 diagnosis using AI,0.33378127
top5_4w_Artificial Intelligence in Healthcare,0.14378501
vol_4w,0.11189312
ret_5d,0.11055867
top5_4w_Ethics and Social Impacts of AI,0.1095059
top2_COVID-19 diagnosis using AI,0.10067277
vol_growth,0.089803256
top5_4w_Online Learning and Analytics,0.0
top5_4w_Radiomics and Machine Learning in Medical Imaging,0.0
top5_Machine Learning in Healthcare,0.0
top2_4w_Radiomics and Machine Learning in Medical Imaging,0.0
top2_4w_Machine Learning in Healthcare,0.0
top5_infrequent_sklearn,0.0
top5_Topic Modeling,0.0
top5_Radiomics and Machine Learning in Medical Imaging,0.0
top5_Online Learning and Analytics,0.0
top2_4w_infrequent_sklearn,0.0
top5_Ethics in Clinical Research,0.0
top5_Explainable Artificial Intelligence (XAI),0.0
top5_Ethics and Social Impacts of AI,0.0
top5_Clinical Reasoning and Diagnostic Skills,0.0
top5_COVID-19 diagnosis using AI,0.0
top5_Biomedical and Engineering Education,0.0
top5_Artificial Intelligence in Healthcare,0.0
top5_AI in Service Interactions,0.0
top2_infrequent_sklearn,0.0
top2_Radiomics and Machine Learning in Medical Imaging,0.0
top2_Machine Learning in Healthcare,0.0
top2_Ethics and Social Impacts of AI,0.0
top2_Artificial Intelligence in Healthcare,0.0
top2_AI in Service Interactions,0.0
top5_4w_infrequent_sklearn,0.0
