feature,importance
top5_4w_Ethics and Social Impacts of AI,0.08620981
top5_4w_Online Learning and Analytics,0.072311714
top3_COVID-19 diagnosis using AI,0.070894524
top5_Artificial Intelligence in Healthcare,0.06714383
vol_4w,0.05675283
top5_4w_Explainable Artificial Intelligence (XAI),0.055126015
top5_4w_Artificial Intelligence in Healthcare,0.05169988
top5_Ethics and Social Impacts of AI,0.047977857
pub_4w,0.04795727
top3_4w_share,0.047067657
top3_Radiomics and Machine Learning in Medical Imaging,0.046546016
ret_5d,0.04462455
top5_4w_share,0.041320294
vol_growth,0.040147822
top4_Machine Learning in Healthcare,0.039808538
top2_Radiomics and Machine Learning in Medical Imaging,0.036115605
top3_Machine Learning in Healthcare,0.032928333
top2_COVID-19 diagnosis using AI,0.030184085
pub_growth,0.027997017
top2_Machine Learning in Healthcare,0.024221895
top5_AI in Service Interactions,0.017683014
top4_Radiomics and Machine Learning in Medical Imaging,0.015281424
top5_Explainable Artificial Intelligence (XAI),0.0
top5_Biomedical and Engineering Education,0.0
top5_COVID-19 diagnosis using AI,0.0
top5_Clinical Reasoning and Diagnostic Skills,0.0
top5_Ethics in Clinical Research,0.0
top2_4w_COVID-19 diagnosis using AI,0.0
"top5_Healthcare cost, quality, practices",0.0
top5_Machine Learning in Healthcare,0.0
top5_Online Learning and Analytics,0.0
top5_Radiomics and Machine Learning in Medical Imaging,0.0
top5_Topic Modeling,0.0
top5_infrequent_sklearn,0.0
top2_4w_infrequent_sklearn,0.0
top5_4w_AI in Service Interactions,0.0
top5_4w_Clinical Reasoning and Diagnostic Skills,0.0
top5_4w_Ethics in Clinical Research,0.0
top5_AI in cancer detection,0.0
top4_Ethics and Social Impacts of AI,0.0
top4_infrequent_sklearn,0.0
top4_Online Learning and Analytics,0.0
top2_AI in Service Interactions,0.0
top2_Artificial Intelligence in Healthcare,0.0
top2_Ethics in Clinical Research,0.0
top2_infrequent_sklearn,0.0
top3_AI in Service Interactions,0.0
top3_Artificial Intelligence in Healthcare,0.0
top3_Clinical Reasoning and Diagnostic Skills,0.0
top3_Ethics and Social Impacts of AI,0.0
top3_Ethics in Clinical Research,0.0
top3_Explainable Artificial Intelligence (XAI),0.0
top3_Online Learning and Analytics,0.0
top3_Topic Modeling,0.0
top3_infrequent_sklearn,0.0
top4_AI in Service Interactions,0.0
top4_AI in cancer detection,0.0
top4_Artificial Intelligence in Healthcare,0.0
top4_Biomedical and Engineering Education,0.0
top4_COVID-19 diagnosis using AI,0.0
top4_Clinical Reasoning and Diagnostic Skills,0.0
top4_Ethics in Clinical Research,0.0
top4_Explainable Artificial Intelligence (XAI),0.0
top5_4w_infrequent_sklearn,0.0
