feature,importance
pub_4w,0.102714926
top2_RNA and protein synthesis mechanisms,0.10170934
close_mean,0.096371606
top5_nan,0.08746812
vol_4w,0.08582636
top2_infrequent_sklearn,0.07658943
top5_infrequent_sklearn,0.07344279
top3_infrequent_sklearn,0.06776327
ret_1d,0.06645907
pub_growth,0.062550925
vol_growth,0.058137503
top2_Bacteriophages and microbial interactions,0.05378403
top4_infrequent_sklearn,0.034960963
top4_nan,0.032221623
top2_Antibiotic Resistance in Bacteria,0.0
top4_Enzyme Structure and Function,0.0
top4_Escherichia coli research studies,0.0
top4_Evolution and Genetic Dynamics,0.0
top4_Genomics and Phylogenetic Studies,0.0
top4_Microbial Metabolic Engineering and Bioproduction,0.0
top4_RNA and protein synthesis mechanisms,0.0
top5_Biochemical and Structural Characterization,0.0
top5_Bacterial biofilms and quorum sensing,0.0
top4_Cancer Research and Treatments,0.0
top5_DNA Repair Mechanisms,0.0
top5_Enzyme Structure and Function,0.0
top5_Escherichia coli research studies,0.0
top5_Gene Regulatory Network Analysis,0.0
top5_Microbial Metabolic Engineering and Bioproduction,0.0
top5_Protein Structure and Dynamics,0.0
top5_RNA and protein synthesis mechanisms,0.0
top4_DNA Repair Mechanisms,0.0
top4_CRISPR and Genetic Engineering,0.0
top2_Bacterial Genetics and Biotechnology,0.0
top4_Bacteriophages and microbial interactions,0.0
top2_Bacterial biofilms and quorum sensing,0.0
top2_Genomics and Phylogenetic Studies,0.0
top1_infrequent_sklearn,0.0
top2_nan,0.0
top1_nan,0.0
top3_Antibiotic Resistance in Bacteria,0.0
top3_Bacterial biofilms and quorum sensing,0.0
top3_Bacteriophages and microbial interactions,0.0
top3_CRISPR and Genetic Engineering,0.0
top3_Enzyme Structure and Function,0.0
top3_Escherichia coli research studies,0.0
top3_Genomics and Phylogenetic Studies,0.0
top3_Protein Structure and Dynamics,0.0
top3_RNA and protein synthesis mechanisms,0.0
top1_Bacterial Genetics and Biotechnology,0.0
top4_Antibiotic Resistance in Bacteria,0.0
top4_Bacterial biofilms and quorum sensing,0.0
top3_nan,0.0
