feature,coef,importance,sign
top5_Corporate Taxation and Avoidance,1.0367364183050023,1.0367364183050023,1.0
top5_Working Capital and Financial Performance,-0.9688289425212582,0.9688289425212582,-1.0
top5_4w_Private Equity and Venture Capital,-0.9603935318490582,0.9603935318490582,-1.0
top2_Corporate Social Responsibility Reporting,0.9058264270039154,0.9058264270039154,1.0
"top5_Auditing, Earnings Management, Governance",0.8745975807183021,0.8745975807183021,1.0
top5_Private Equity and Venture Capital,0.7643741930589872,0.7643741930589872,1.0
top5_4w_infrequent_sklearn,0.7228592112478598,0.7228592112478598,1.0
top2_Financial Markets and Investment Strategies,-0.659534311672539,0.659534311672539,-1.0
top5_Corporate Social Responsibility Reporting,0.6418997731331233,0.6418997731331233,1.0
top2_4w_Financial Reporting and Valuation Research,0.6293020585346196,0.6293020585346196,1.0
top5_Corporate Insolvency and Governance,-0.6189929704758357,0.6189929704758357,-1.0
top5_Financial Reporting and Valuation Research,-0.5542019510153523,0.5542019510153523,-1.0
top2_Financial Reporting and Valuation Research,-0.5475516840343901,0.5475516840343901,-1.0
"top5_4w_Auditing, Earnings Management, Governance",0.543137057609141,0.543137057609141,1.0
top5_Firm Innovation and Growth,-0.5408825932084409,0.5408825932084409,-1.0
top5_4w_Financial Reporting and Valuation Research,-0.536643395748683,0.536643395748683,-1.0
"top2_Banking stability, regulation, efficiency",0.29029936285736635,0.29029936285736635,1.0
top2_Firm Innovation and Growth,0.2861059720144657,0.2861059720144657,1.0
"top5_Banking stability, regulation, efficiency",-0.282897905814514,0.282897905814514,-1.0
"top2_Auditing, Earnings Management, Governance",-0.2701074134638441,0.2701074134638441,-1.0
top2_4w_Working Capital and Financial Performance,-0.24961958411930787,0.24961958411930787,-1.0
"top5_4w_Banking stability, regulation, efficiency",0.24414893805510615,0.24414893805510615,1.0
top5_Corporate Governance and Law,-0.22501726662531618,0.22501726662531618,-1.0
top5_Financial Markets and Investment Strategies,0.19488241355604063,0.19488241355604063,1.0
top2_4w_infrequent_sklearn,-0.18736060593060974,0.18736060593060974,-1.0
vol_4w,0.18471180130489753,0.18471180130489753,1.0
vol_growth,-0.1798041874668461,0.1798041874668461,-1.0
"top2_4w_Auditing, Earnings Management, Governance",-0.17970101174823894,0.17970101174823894,-1.0
top2_infrequent_sklearn,0.15314541800261058,0.15314541800261058,1.0
top5_Family Business Performance and Succession,-0.1261967196443843,0.1261967196443843,-1.0
top2_Working Capital and Financial Performance,-0.10900931346623315,0.10900931346623315,-1.0
top5_infrequent_sklearn,-0.0944180778345276,0.0944180778345276,-1.0
top5_Islamic Finance and Banking Studies,-0.08843309489536123,0.08843309489536123,-1.0
ret_5d,0.057169606274812754,0.057169606274812754,1.0
top2_Private Equity and Venture Capital,-0.036553600504887686,0.036553600504887686,-1.0
top5_4w_Financial Markets and Investment Strategies,-0.0004874225779015189,0.0004874225779015189,-1.0
