feature,coef,importance,sign
top5_Working Capital and Financial Performance,-1.1132364055509765,1.1132364055509765,-1.0
top5_Corporate Taxation and Avoidance,0.9709123746942347,0.9709123746942347,1.0
top2_Corporate Social Responsibility Reporting,0.9185628079558988,0.9185628079558988,1.0
"top5_Auditing, Earnings Management, Governance",0.9180300906869351,0.9180300906869351,1.0
top5_4w_Private Equity and Venture Capital,-0.8871134760578001,0.8871134760578001,-1.0
top5_Private Equity and Venture Capital,0.8049884670552822,0.8049884670552822,1.0
top5_4w_infrequent_sklearn,0.7423548697590862,0.7423548697590862,1.0
top2_Financial Markets and Investment Strategies,-0.7235444319938347,0.7235444319938347,-1.0
top5_Corporate Insolvency and Governance,-0.6722248688321538,0.6722248688321538,-1.0
top5_Corporate Social Responsibility Reporting,0.6715825867316624,0.6715825867316624,1.0
top2_4w_Financial Reporting and Valuation Research,0.6243062074973582,0.6243062074973582,1.0
top5_4w_Financial Reporting and Valuation Research,-0.5525294333173574,0.5525294333173574,-1.0
top5_Financial Reporting and Valuation Research,-0.5076405258483937,0.5076405258483937,-1.0
top5_Firm Innovation and Growth,-0.504756628548639,0.504756628548639,-1.0
"top5_4w_Auditing, Earnings Management, Governance",0.46569333119477124,0.46569333119477124,1.0
top2_Financial Reporting and Valuation Research,-0.4574594409562676,0.4574594409562676,-1.0
top2_Firm Innovation and Growth,0.31944704046586253,0.31944704046586253,1.0
pub_4w,0.3027929535936612,0.3027929535936612,1.0
top5_Corporate Governance and Law,-0.2980180122911876,0.2980180122911876,-1.0
"top2_4w_Auditing, Earnings Management, Governance",-0.2971009034864541,0.2971009034864541,-1.0
top2_infrequent_sklearn,0.2828924413417401,0.2828924413417401,1.0
"top2_Auditing, Earnings Management, Governance",-0.2739413507678713,0.2739413507678713,-1.0
"top2_Banking stability, regulation, efficiency",0.26922539234458986,0.26922539234458986,1.0
top5_4w_Financial Markets and Investment Strategies,0.22435713878890398,0.22435713878890398,1.0
top2_Private Equity and Venture Capital,-0.20527472735691296,0.20527472735691296,-1.0
vol_growth,-0.19233581697540555,0.19233581697540555,-1.0
top2_4w_Working Capital and Financial Performance,-0.17357505564022477,0.17357505564022477,-1.0
"top5_Banking stability, regulation, efficiency",-0.1664429806389149,0.1664429806389149,-1.0
top3_4w_share,-0.15503100046115179,0.15503100046115179,-1.0
vol_4w,0.14939231630641614,0.14939231630641614,1.0
top2_4w_infrequent_sklearn,-0.14012646872470183,0.14012646872470183,-1.0
top2_Working Capital and Financial Performance,-0.11640395138722744,0.11640395138722744,-1.0
top5_infrequent_sklearn,-0.08391729422606484,0.08391729422606484,-1.0
top5_Family Business Performance and Succession,-0.059624294500076024,0.059624294500076024,-1.0
top5_Financial Markets and Investment Strategies,0.05610870168330699,0.05610870168330699,1.0
pub_growth,-0.0540580828826362,0.0540580828826362,-1.0
top5_4w_share,0.049755877856471134,0.049755877856471134,1.0
"top5_4w_Banking stability, regulation, efficiency",0.020741349278373823,0.020741349278373823,1.0
ret_5d,0.012278933622972008,0.012278933622972008,1.0
top5_Islamic Finance and Banking Studies,-0.0022574307690367613,0.0022574307690367613,-1.0
