feature,importance
vol_4w,0.2356326166048325
ret_5d,0.16993940950245387
vol_growth,0.12641341923120772
top5_4w_Private Equity and Venture Capital,0.09416653077050322
top2_4w_Financial Reporting and Valuation Research,0.06546157732897202
"top5_4w_Banking stability, regulation, efficiency",0.03747069422516615
"top2_4w_Auditing, Earnings Management, Governance",0.03010528139203298
"top5_Auditing, Earnings Management, Governance",0.02741799202585019
top5_Working Capital and Financial Performance,0.02279711674528674
"top2_Auditing, Earnings Management, Governance",0.019060547521105774
top5_infrequent_sklearn,0.0180590134083869
top2_4w_Working Capital and Financial Performance,0.016258392859099028
top5_4w_Financial Markets and Investment Strategies,0.014751051302416916
top2_Corporate Social Responsibility Reporting,0.012747407264310728
top2_Working Capital and Financial Performance,0.012674681388186778
top2_Financial Reporting and Valuation Research,0.011239877976368967
"top2_Banking stability, regulation, efficiency",0.009058504911350471
"top5_4w_Auditing, Earnings Management, Governance",0.008771520920692003
top5_Financial Reporting and Valuation Research,0.008765749652803329
top5_Corporate Social Responsibility Reporting,0.008239389829152047
top5_4w_Financial Reporting and Valuation Research,0.008015771546792755
top5_Private Equity and Venture Capital,0.007747148468642355
top5_4w_infrequent_sklearn,0.007161138139382386
"top5_Banking stability, regulation, efficiency",0.00691594837591835
top2_infrequent_sklearn,0.005403058856476926
top2_Financial Markets and Investment Strategies,0.004543836417590993
top5_Financial Markets and Investment Strategies,0.0031922368596685874
top5_Firm Innovation and Growth,0.0029131791448602116
top5_Corporate Taxation and Avoidance,0.0016400315064170276
top5_Corporate Insolvency and Governance,0.0013241610144126097
top2_4w_infrequent_sklearn,0.001045599438828506
top2_Private Equity and Venture Capital,0.0004796946963840328
top5_Family Business Performance and Succession,0.00040931320844684015
top5_Corporate Governance and Law,0.00010153764274562846
top5_Islamic Finance and Banking Studies,7.656982325447982e-05
top2_Firm Innovation and Growth,0.0
