feature,importance
vol_4w,0.13499830321668962
top3_4w_share,0.12774472861574296
top5_4w_share,0.1178845444906436
pub_4w,0.1095714504007777
ret_5d,0.08940436708300975
pub_growth,0.07452116345659796
vol_growth,0.06951682475551385
top2_4w_Financial Reporting and Valuation Research,0.04753684557187399
top5_4w_Private Equity and Venture Capital,0.046423578694430145
"top5_4w_Banking stability, regulation, efficiency",0.026125702219095943
"top5_Auditing, Earnings Management, Governance",0.014450899589660582
top5_Working Capital and Financial Performance,0.012836822590720857
top2_Corporate Social Responsibility Reporting,0.01276588046935704
top2_4w_Working Capital and Financial Performance,0.012615596444205821
"top2_4w_Auditing, Earnings Management, Governance",0.012234074732606279
"top2_Auditing, Earnings Management, Governance",0.01086874482644859
top5_infrequent_sklearn,0.009971573133863439
top5_4w_Financial Markets and Investment Strategies,0.009549295077366134
top2_Working Capital and Financial Performance,0.008367257276196803
"top5_Banking stability, regulation, efficiency",0.0059390993119371625
top5_Corporate Social Responsibility Reporting,0.0057307243718956345
top5_4w_infrequent_sklearn,0.005558630723614509
"top2_Banking stability, regulation, efficiency",0.004896645295195404
top5_4w_Financial Reporting and Valuation Research,0.004858984743695348
top5_Private Equity and Venture Capital,0.004555994338549708
top2_Financial Reporting and Valuation Research,0.00443754810997818
"top5_4w_Auditing, Earnings Management, Governance",0.0040627186532754345
top2_Financial Markets and Investment Strategies,0.0028732272386467134
top5_Financial Reporting and Valuation Research,0.0025672813268262213
top2_infrequent_sklearn,0.0023971015413315343
top2_4w_infrequent_sklearn,0.0013178328878381486
top5_Financial Markets and Investment Strategies,0.001316286550652619
top5_Corporate Insolvency and Governance,0.0012966332006983901
top2_Private Equity and Venture Capital,0.0002819177964902066
top5_Islamic Finance and Banking Studies,0.00028024844938166467
top5_Corporate Governance and Law,0.00012705250195669317
top5_Firm Innovation and Growth,0.0001144203132354329
top5_Family Business Performance and Succession,0.0
top2_Firm Innovation and Growth,0.0
top5_Corporate Taxation and Avoidance,0.0
