feature,coef,importance,sign
top2_Healthcare Policy and Management,1.2671497028522185,1.2671497028522185,1.0
top2_Global Maternal and Child Health,-1.1467542335949505,1.1467542335949505,-1.0
top5_Health disparities and outcomes,0.7988323214153035,0.7988323214153035,1.0
top2_Climate Change and Health Impacts,-0.6829396059519108,0.6829396059519108,-1.0
"top5_Insurance, Mortality, Demography, Risk Management",0.6797530879998289,0.6797530879998289,1.0
top5_Global Maternal and Child Health,-0.6050012149361289,0.6050012149361289,-1.0
close_mean,-0.5986592050602144,0.5986592050602144,-1.0
top3_Global Maternal and Child Health,0.582743560240758,0.582743560240758,1.0
top5_Climate Change and Health Impacts,-0.5811984049479627,0.5811984049479627,-1.0
top2_Health disparities and outcomes,0.579305215548671,0.579305215548671,1.0
top3_Healthcare Systems and Reforms,-0.5375968397653883,0.5375968397653883,-1.0
pub_4w,0.5196744643982499,0.5196744643982499,1.0
top2_Employment and Welfare Studies,-0.4929917698022364,0.4929917698022364,-1.0
top5_Healthcare Policy and Management,0.44006217513388035,0.44006217513388035,1.0
"top5_Health Systems, Economic Evaluations, Quality of Life",-0.331427904325681,0.331427904325681,-1.0
top4_infrequent_sklearn,0.3301421062888404,0.3301421062888404,1.0
top4_Climate Change and Health Impacts,-0.32750826914715464,0.32750826914715464,-1.0
top5_Healthcare Systems and Reforms,-0.28516975461047595,0.28516975461047595,-1.0
top3_Employment and Welfare Studies,0.2845931629870195,0.2845931629870195,1.0
top2_infrequent_sklearn,0.2816658869747496,0.2816658869747496,1.0
vol_growth,-0.2747524512995861,0.2747524512995861,-1.0
"top2_Health Systems, Economic Evaluations, Quality of Life",0.263002003304253,0.263002003304253,1.0
"top3_Health Systems, Economic Evaluations, Quality of Life",-0.256072276284019,0.256072276284019,-1.0
"top4_Insurance, Mortality, Demography, Risk Management",-0.23799428586857654,0.23799428586857654,-1.0
top4_Health disparities and outcomes,-0.22528887819004886,0.22528887819004886,-1.0
vol_4w,-0.21730832867788372,0.21730832867788372,-1.0
"top5_Financial Literacy, Pension, Retirement Analysis",-0.21640032862945052,0.21640032862945052,-1.0
top4_Global Maternal and Child Health,0.21443664519209013,0.21443664519209013,1.0
"top3_Insurance, Mortality, Demography, Risk Management",0.1834704774789024,0.1834704774789024,1.0
top3_Healthcare Policy and Management,-0.16745398829368388,0.16745398829368388,-1.0
ret_1d,-0.15242235413997732,0.15242235413997732,-1.0
top4_Air Quality and Health Impacts,0.1385053666461115,0.1385053666461115,1.0
top1_Global Health Care Issues,-0.13534268491112203,0.13534268491112203,-1.0
top3_infrequent_sklearn,-0.1342557379580855,0.1342557379580855,-1.0
top5_Employment and Welfare Studies,0.12784448025459189,0.12784448025459189,1.0
top1_infrequent_sklearn,0.1250120548793583,0.1250120548793583,1.0
top2_Healthcare Systems and Reforms,-0.11325592707937446,0.11325592707937446,-1.0
top5_nan,-0.11075929666835443,0.11075929666835443,-1.0
top4_Healthcare Systems and Reforms,-0.10237680202334232,0.10237680202334232,-1.0
top4_Employment and Welfare Studies,0.09167529862191182,0.09167529862191182,1.0
top5_infrequent_sklearn,0.0731342092826866,0.0731342092826866,1.0
pub_growth,-0.06948962640120421,0.06948962640120421,-1.0
"top4_Health Systems, Economic Evaluations, Quality of Life",0.0682719961819221,0.0682719961819221,1.0
top4_Healthcare Policy and Management,0.039806192266483416,0.039806192266483416,1.0
"top2_Insurance, Mortality, Demography, Risk Management",0.034488097716817344,0.034488097716817344,1.0
top3_Health disparities and outcomes,0.03424101156273473,0.03424101156273473,1.0
