feature,coef,importance,sign
top5_4w_Health disparities and outcomes,1.8175816948614996,1.8175816948614996,1.0
"top5_4w_Health Systems, Economic Evaluations, Quality of Life",-1.2784237411663595,1.2784237411663595,-1.0
top2_Global Maternal and Child Health,-0.9020641701952602,0.9020641701952602,-1.0
top2_4w_infrequent_sklearn,0.7699587924694953,0.7699587924694953,1.0
top5_4w_Healthcare Policy and Management,-0.7479038462151085,0.7479038462151085,-1.0
top5_Global Maternal and Child Health,-0.7372724577732914,0.7372724577732914,-1.0
ret_5d,-0.7031680609501406,0.7031680609501406,-1.0
top2_Healthcare Policy and Management,0.6605253259672493,0.6605253259672493,1.0
top2_4w_Health disparities and outcomes,-0.6545021412319498,0.6545021412319498,-1.0
"top5_Insurance, Mortality, Demography, Risk Management",0.5826142820409053,0.5826142820409053,1.0
top5_Climate Change and Health Impacts,-0.5633327162425775,0.5633327162425775,-1.0
top5_Health disparities and outcomes,0.5608825163191666,0.5608825163191666,1.0
vol_4w,0.5549799511732664,0.5549799511732664,1.0
top5_Healthcare Policy and Management,0.5236780340486357,0.5236780340486357,1.0
top5_4w_infrequent_sklearn,0.5227784386872162,0.5227784386872162,1.0
top5_4w_Employment and Welfare Studies,-0.4401518035602738,0.4401518035602738,-1.0
top2_Climate Change and Health Impacts,-0.4112923316129224,0.4112923316129224,-1.0
top5_Healthcare Systems and Reforms,-0.368916340565375,0.368916340565375,-1.0
top2_infrequent_sklearn,0.34029839931685346,0.34029839931685346,1.0
"top5_Health Systems, Economic Evaluations, Quality of Life",-0.325210389457807,0.325210389457807,-1.0
top2_Health disparities and outcomes,0.31505771916690833,0.31505771916690833,1.0
top2_Employment and Welfare Studies,-0.29661300465449386,0.29661300465449386,-1.0
"top2_Health Systems, Economic Evaluations, Quality of Life",0.2784222193559327,0.2784222193559327,1.0
top5_infrequent_sklearn,0.26357544246231374,0.26357544246231374,1.0
vol_growth,-0.22814606995473466,0.22814606995473466,-1.0
"top2_Insurance, Mortality, Demography, Risk Management",0.22098473789627365,0.22098473789627365,1.0
top2_Healthcare Systems and Reforms,-0.21597008269123516,0.21597008269123516,-1.0
top5_Employment and Welfare Studies,0.2088217473413825,0.2088217473413825,1.0
"top5_Energy, Environment, Economic Growth",-0.14916144006038332,0.14916144006038332,-1.0
top2_4w_Healthcare Systems and Reforms,-0.12610783868823944,0.12610783868823944,-1.0
"top5_4w_Insurance, Mortality, Demography, Risk Management",0.11546806994233244,0.11546806994233244,1.0
"top5_Financial Literacy, Pension, Retirement Analysis",-0.06075474912594767,0.06075474912594767,-1.0
top5_nan,0.05442488356228478,0.05442488356228478,1.0
