feature,coef,importance,sign
top5_Health disparities and outcomes,0.8065921970551237,0.8065921970551237,1.0
"top5_Insurance, Mortality, Demography, Risk Management",0.5978573513511236,0.5978573513511236,1.0
top5_Global Maternal and Child Health,-0.5853238964033984,0.5853238964033984,-1.0
top5_Climate Change and Health Impacts,-0.5817028493807598,0.5817028493807598,-1.0
pub_4w,0.5484257326601755,0.5484257326601755,1.0
top5_Healthcare Systems and Reforms,-0.5359495310050337,0.5359495310050337,-1.0
top5_Healthcare Policy and Management,0.37316825721987346,0.37316825721987346,1.0
ret_1d,-0.25873694789355506,0.25873694789355506,-1.0
close_mean,-0.25279689296985525,0.25279689296985525,-1.0
top5_infrequent_sklearn,0.24860214517330256,0.24860214517330256,1.0
"top5_Health Systems, Economic Evaluations, Quality of Life",-0.24286023593227987,0.24286023593227987,-1.0
vol_growth,-0.2234696385754232,0.2234696385754232,-1.0
top1_infrequent_sklearn,0.13539745648372345,0.13539745648372345,1.0
top1_Global Health Care Issues,-0.12748380198917553,0.12748380198917553,-1.0
vol_4w,0.11319261398439986,0.11319261398439986,1.0
pub_growth,-0.09785893819046096,0.09785893819046096,-1.0
"top5_Financial Literacy, Pension, Retirement Analysis",-0.07924804764335784,0.07924804764335784,-1.0
"top5_Energy, Environment, Economic Growth",0.03527095864508449,0.03527095864508449,1.0
top5_Employment and Welfare Studies,-0.01584695597995078,0.01584695597995078,-1.0
top5_nan,-0.012645738605179568,0.012645738605179568,-1.0
