feature,importance
pub_4w,0.111736886
top3_Healthcare Systems and Reforms,0.09505241
vol_4w,0.09310562
close_mean,0.09253887
top4_infrequent_sklearn,0.087513074
top2_infrequent_sklearn,0.08247379
top3_infrequent_sklearn,0.07161349
top2_Healthcare Systems and Reforms,0.0702681
vol_growth,0.06983491
pub_growth,0.06228147
ret_1d,0.059490025
top2_Health disparities and outcomes,0.05473676
top5_infrequent_sklearn,0.04935463
top2_Healthcare Policy and Management,0.0
top4_Health disparities and outcomes,0.0
top5_nan,0.0
"top5_Insurance, Mortality, Demography, Risk Management",0.0
top5_Healthcare Systems and Reforms,0.0
top5_Healthcare Policy and Management,0.0
top5_Health disparities and outcomes,0.0
"top5_Health Systems, Economic Evaluations, Quality of Life",0.0
top5_Global Maternal and Child Health,0.0
"top5_Financial Literacy, Pension, Retirement Analysis",0.0
top5_Employment and Welfare Studies,0.0
top5_Climate Change and Health Impacts,0.0
top1_Global Health Care Issues,0.0
"top4_Insurance, Mortality, Demography, Risk Management",0.0
top4_Healthcare Systems and Reforms,0.0
top4_Healthcare Policy and Management,0.0
"top4_Health Systems, Economic Evaluations, Quality of Life",0.0
"top2_Health Systems, Economic Evaluations, Quality of Life",0.0
top4_Global Maternal and Child Health,0.0
top4_Employment and Welfare Studies,0.0
top4_Climate Change and Health Impacts,0.0
top4_Air Quality and Health Impacts,0.0
top1_infrequent_sklearn,0.0
top2_Climate Change and Health Impacts,0.0
top2_Employment and Welfare Studies,0.0
top3_Healthcare Policy and Management,0.0
top3_Health disparities and outcomes,0.0
"top3_Health Systems, Economic Evaluations, Quality of Life",0.0
top3_Global Maternal and Child Health,0.0
top3_Employment and Welfare Studies,0.0
top2_Global Maternal and Child Health,0.0
"top2_Insurance, Mortality, Demography, Risk Management",0.0
"top3_Insurance, Mortality, Demography, Risk Management",0.0
