feature,importance
vol_4w,0.2368289453257665
ret_5d,0.1952601628456492
vol_growth,0.17301558476521725
top2_Advancements in Semiconductor Devices and Circuit Design,0.05122075184397408
top5_Electronic and Structural Properties of Oxides,0.03446611737711609
top5_4w_Advanced Memory and Neural Computing,0.032165532153699716
top2_Electronic and Structural Properties of Oxides,0.025137366865941754
top5_4w_Ferroelectric and Negative Capacitance Devices,0.024019045314110338
top5_4w_Semiconductor materials and interfaces,0.024006883960413287
top5_infrequent_sklearn,0.02226378840175382
top5_4w_Integrated Circuits and Semiconductor Failure Analysis,0.01958562697614162
top2_Advanced Memory and Neural Computing,0.016528879383557973
top2_infrequent_sklearn,0.014308193684210145
top5_4w_Electronic and Structural Properties of Oxides,0.013632478550464304
top5_Integrated Circuits and Semiconductor Failure Analysis,0.010834534308700478
top5_4w_infrequent_sklearn,0.010498966892242447
top5_3D IC and TSV technologies,0.01041671478010154
top5_Advancements in Semiconductor Devices and Circuit Design,0.009345247387517065
top5_4w_Copper Interconnects and Reliability,0.008831954082335359
top5_Advanced Memory and Neural Computing,0.008635624606594207
top5_Ferroelectric and Negative Capacitance Devices,0.008435527068002551
top2_Catalytic Processes in Materials Science,0.007944482965651319
top5_Copper Interconnects and Reliability,0.006102301611718751
top5_Semiconductor materials and interfaces,0.004668423858298634
top5_Catalytic Processes in Materials Science,0.004508686733402555
top5_Electron and X-Ray Spectroscopy Techniques,0.004413061570093827
top5_Advancements in Battery Materials,0.0041385063261822575
top5_nan,0.003547665788077017
top2_Semiconductor materials and interfaces,0.003105721890894994
top2_Advancements in Battery Materials,0.002841894788299064
top2_Copper Interconnects and Reliability,0.00219667629563955
top5_Nanowire Synthesis and Applications,0.0018510535439589795
top5_Diamond and Carbon-based Materials Research,0.0014526324416939428
top5_Silicon Carbide Semiconductor Technologies,0.0012817392776230186
top5_GaN-based semiconductor devices and materials,0.000819032105303251
top5_4w_Silicon Carbide Semiconductor Technologies,0.0007912670641958287
top5_Advanced ceramic materials synthesis,0.0006157354413215288
top5_ZnO doping and properties,0.00020061426845596392
top2_GaN-based semiconductor devices and materials,4.955037747414808e-05
top5_Metal and Thin Film Mechanics,3.302707820549631e-05
top2_4w_Advancements in Semiconductor Devices and Circuit Design,0.0
top2_4w_infrequent_sklearn,0.0
top5_Ferroelectric and Piezoelectric Materials,0.0
