feature,importance
top5_Electronic and Structural Properties of Oxides,0.15618554
top2_Electronic and Structural Properties of Oxides,0.11750505
vol_4w,0.08638908
top2_Advanced Memory and Neural Computing,0.079346806
top2_Advancements in Semiconductor Devices and Circuit Design,0.07570862
top5_4w_Integrated Circuits and Semiconductor Failure Analysis,0.07239272
top5_4w_Ferroelectric and Negative Capacitance Devices,0.06934713
ret_5d,0.06219739
vol_growth,0.06206843
top2_infrequent_sklearn,0.061886135
top5_4w_Advanced Memory and Neural Computing,0.055376668
top5_infrequent_sklearn,0.05103505
top5_4w_Electronic and Structural Properties of Oxides,0.050561387
top2_4w_Advancements in Semiconductor Devices and Circuit Design,0.0
top5_Semiconductor materials and interfaces,0.0
top5_Silicon Carbide Semiconductor Technologies,0.0
top5_ZnO doping and properties,0.0
top5_nan,0.0
top2_Copper Interconnects and Reliability,0.0
top2_4w_infrequent_sklearn,0.0
top5_Metal and Thin Film Mechanics,0.0
top5_4w_Copper Interconnects and Reliability,0.0
top2_Advancements in Battery Materials,0.0
top5_4w_Semiconductor materials and interfaces,0.0
top5_4w_Silicon Carbide Semiconductor Technologies,0.0
top5_Nanowire Synthesis and Applications,0.0
top5_Integrated Circuits and Semiconductor Failure Analysis,0.0
top2_GaN-based semiconductor devices and materials,0.0
top5_GaN-based semiconductor devices and materials,0.0
top5_Ferroelectric and Piezoelectric Materials,0.0
top5_Ferroelectric and Negative Capacitance Devices,0.0
top2_Catalytic Processes in Materials Science,0.0
top5_Electron and X-Ray Spectroscopy Techniques,0.0
top5_Diamond and Carbon-based Materials Research,0.0
top5_Copper Interconnects and Reliability,0.0
top5_Catalytic Processes in Materials Science,0.0
top5_Advancements in Semiconductor Devices and Circuit Design,0.0
top5_Advancements in Battery Materials,0.0
top5_Advanced ceramic materials synthesis,0.0
top5_Advanced Memory and Neural Computing,0.0
top5_3D IC and TSV technologies,0.0
top2_Semiconductor materials and interfaces,0.0
top5_4w_infrequent_sklearn,0.0
