feature,importance
close_mean,0.25152435306758025
pub_4w,0.19236777162135693
ret_1d,0.14724952853353698
vol_4w,0.14262295177776144
vol_growth,0.1101541054907084
pub_growth,0.09544745281421002
top1_Information Technology Governance and Strategy,0.01320088487392692
top5_nan,0.01312840796027727
top5_infrequent_sklearn,0.010648719493335398
top1_Big Data and Business Intelligence,0.009023762533674545
top1_infrequent_sklearn,0.007426070048791116
top1_nan,0.0064763029389072945
top1_ERP Systems Implementation and Impact,0.0005369539889352381
top1_Collaboration in agile enterprises,0.00018437745951513398
top5_Software Engineering Techniques and Practices,8.357397483146317e-06
top5_ERP Systems Implementation and Impact,0.0
